action_id,project_id,project_name,action_description,action_status,action_gyr_status,decision_date,change_identifier,change_status,change_reason
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR1,declined,"We may be having some scheduling issues with tech group around testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR2,investigating,"New scope added from the sponsor and this is something that they feel is a priority for this project."
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR3,submitted,"Need more funds to license the new technology not anticipated in plan"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR4,declined,"Need to do this.
Use this link: http://www.umsl.edu/~sauterv/analysis/6840_f03_papers/frese/"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR5,approved,"Added functionality to VDT"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR6,declined,"Did not consider the support costs (first year) in the originally approved budget"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR7,investigating,"Not enough resources made available for testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR1,declined,"We may be having some scheduling issues with tech group around testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR2,investigating,"New scope added from the sponsor and this is something that they feel is a priority for this project."
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR3,submitted,"Need more funds to license the new technology not anticipated in plan"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR4,declined,"Need to do this.
Use this link: http://www.umsl.edu/~sauterv/analysis/6840_f03_papers/frese/"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR5,approved,"Added functionality to VDT"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR6,declined,"Did not consider the support costs (first year) in the originally approved budget"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR7,investigating,"Not enough resources made available for testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR1,declined,"We may be having some scheduling issues with tech group around testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR2,investigating,"New scope added from the sponsor and this is something that they feel is a priority for this project."
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR3,submitted,"Need more funds to license the new technology not anticipated in plan"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR4,declined,"Need to do this.
Use this link: http://www.umsl.edu/~sauterv/analysis/6840_f03_papers/frese/"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR5,approved,"Added functionality to VDT"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR6,declined,"Did not consider the support costs (first year) in the originally approved budget"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR7,investigating,"Not enough resources made available for testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",closed,green,NULL,CR1,declined,"We may be having some scheduling issues with tech group around testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",closed,green,NULL,CR2,investigating,"New scope added from the sponsor and this is something that they feel is a priority for this project."
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",closed,green,NULL,CR3,submitted,"Need more funds to license the new technology not anticipated in plan"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",closed,green,NULL,CR4,declined,"Need to do this.
Use this link: http://www.umsl.edu/~sauterv/analysis/6840_f03_papers/frese/"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",closed,green,NULL,CR5,approved,"Added functionality to VDT"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",closed,green,NULL,CR6,declined,"Did not consider the support costs (first year) in the originally approved budget"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",closed,green,NULL,CR7,investigating,"Not enough resources made available for testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR1,declined,"We may be having some scheduling issues with tech group around testing"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR2,investigating,"New scope added from the sponsor and this is something that they feel is a priority for this project."
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR3,submitted,"Need more funds to license the new technology not anticipated in plan"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR4,declined,"Need to do this.
Use this link: http://www.umsl.edu/~sauterv/analysis/6840_f03_papers/frese/"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR5,approved,"Added functionality to VDT"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR6,declined,"Did not consider the support costs (first year) in the originally approved budget"
1,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR7,investigating,"Not enough resources made available for testing"
5,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR1,declined,"We may be having some scheduling issues with tech group around testing"
5,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR2,investigating,"New scope added from the sponsor and this is something that they feel is a priority for this project."
5,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR3,submitted,"Need more funds to license the new technology not anticipated in plan"
5,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR4,declined,"Need to do this.
Use this link: http://www.umsl.edu/~sauterv/analysis/6840_f03_papers/frese/"
5,4,"Office Move","Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",open,green,NULL,CR5,approved,"Added functionality to VDT"
