project_id,project_name,action_description,action_status,action_gyr,risk_description,milestone_description,gyr_constraint,gyr_status,previous_gyr_status,gyr_comments,project_created_at
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",overall,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",scope,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",budget,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",schedule,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",overall,yellow,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",scope,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",schedule,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",budget,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",overall,red,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",overall,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",schedule,red,red,NULL,"2021-11-23 10:04:23"
