risk_id,project_id,project_name,risk_identifier,risk_statement,risk_impact,risk_probability,risk_status,mitigation_description,gyr_constraint,gyr_status,contingency_description
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",overall,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",scope,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",budget,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",schedule,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",overall,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",scope,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",schedule,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",budget,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",overall,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",schedule,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",scope,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",overall,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",schedule,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",scope,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",overall,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",risk,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",technology,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",other,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",resources,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",resources,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",risk,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",technology,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",other,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",other,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",scope,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",scope,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",schedule,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",schedule,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",schedule,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",overall,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",schedule,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",technology,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",scope,green,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",overall,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",scope,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",other,yellow,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",quality,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",quality,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
1,4,"Office Move",R1,"There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.",2,35,open,"we need to do something to reduce the probability of this occurring",overall,red,"We will be managed through the PMO and follow the existing planning and execution process as much as possible."
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",overall,green,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",scope,green,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",budget,green,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",schedule,green,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",overall,yellow,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",scope,yellow,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",schedule,green,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",budget,green,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",overall,red,NULL
2,4,"Office Move",R2,"There is a risk that our support staff on this project team may have more priority work later on the schedule and the prioject work may fall behind.",3,60,closed,"We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.",schedule,red,NULL
