id,creator_id,action_id,owner_contact_id,description,due_date,decision_made,status,progress,gyr,urls,created_at,updated_at
1,,1,6.0,Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.,2021-12-10,0,open,0,green,,2021-11-26 12:09:56,2021-11-26 12:09:56
2,,1,6.0,Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.,2021-12-10,1,open,10,green,,2021-11-26 12:10:15,2021-11-26 12:10:15
6,,5,8.0,Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.,2021-11-29,1,open,50,green,,2021-11-29 05:49:32,2021-11-29 05:49:32
7,,6,7.0,Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.,2021-12-01,0,open,10,green,,2021-11-29 05:50:23,2021-11-29 05:50:23
10,,5,8.0,"This work continues to be worked on. I have been able to setup meetings with the appropriate people and we will report back as the information is developed. 

Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.",2021-12-10,1,open,65,green,,2021-11-30 04:40:37,2021-11-30 04:40:37
11,,5,8.0,"This work continues to be worked on. I have been able to setup meetings with the appropriate people and we will report back as the information is developed. 

Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.
\This work continues to be worked on. I have been able to setup meetings with the appropriate people and we will report back as the information is developed. 

Mos",2021-12-10,1,open,65,green,,2021-11-30 04:41:22,2021-11-30 04:41:22
12,,1,6.0,Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.,2021-12-10,0,open,30,green,,2021-11-30 04:51:22,2021-11-30 04:51:22
13,,8,12.0,"We have not been able to confirm the resource availability at the time we need them for this group. 

This will cause a schedule delay and a potential budget increase if more resources are required.",2021-12-21,0,open,5,green,,2021-11-30 04:52:41,2021-11-30 04:52:41
14,,9,13.0,unclear at this time,2021-12-23,1,open,20,green,,2021-12-01 11:41:10,2021-12-01 11:41:10
17,,1,6.0,Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.,2021-12-10,0,closed,30,green,,2021-12-14 14:42:07,2021-12-14 14:42:07
19,,6,7.0,Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.,2021-12-01,0,closed,10,green,,2021-12-14 14:42:07,2021-12-14 14:42:07
20,,10,15.0,reached,2022-01-13,0,open,0,green,,2022-01-12 07:08:52,2022-01-12 07:08:52
21,,11,23.0,Mitchel to investigate the reason why some events/locations would be defaulting to the text-only version of the DMS templates (reason could be the different size of graphics).,2022-01-19,0,open,0,green,,2022-01-13 04:35:40,2022-01-13 04:35:40
22,,12,25.0,Gavincko discussed with Mitchel and met with Oliver on 01-12 to discuss the best way to do this in QGIS. The method of attack seemed to be a function for calculating the distance from the new points to the closest old point.,2022-01-26,1,open,20,green,,2022-01-13 04:47:23,2022-01-13 04:47:23
23,,13,22.0,stuff big stuff,2022-01-13,0,open,0,green,,2022-01-13 12:52:00,2022-01-13 12:52:00
24,,14,27.0,try to do this with the system and see if the email goes ahead as planned,2022-01-28,0,open,20,green,,2022-01-14 07:05:46,2022-01-14 07:05:46
25,,15,28.0,we need to take steps!!,2022-02-01,1,closed,10,green,,2022-01-14 09:03:30,2022-01-14 09:03:30
26,,16,3.0,actions here,2022-02-23,0,open,0,green,,2022-01-14 09:04:25,2022-01-14 09:04:25
27,,17,28.0,take some money and do something,2022-01-26,1,open,5,green,,2022-01-14 09:05:20,2022-01-14 09:05:20
28,,18,28.0,we decided to not do this,2022-01-12,1,open,100,green,,2022-01-14 09:06:13,2022-01-14 09:06:13
29,,11,23.0,"After speaking with Mike, the 105x27 DMS formats (DMS 218 & 220) support colour coded TT messages - Need to confirm with Alex if this means the 105x27 graphics need to be added.",2022-01-19,0,open,0,green,,2022-01-14 12:20:46,2022-01-14 12:20:46
30,,11,23.0,Week of Jan 17-21: Mitchel to coordinate with Dom to complete testing and investigate the 105x27 graphic format colour decision.,2022-01-19,0,open,60,green,,2022-01-14 12:23:33,2022-01-14 12:23:33
31,,19,30.0,"Questions regarding the spreadsheet: which graphic is to be used (need a new image file?) and when the graphic applies (from the sheet, graphic is associated with the ""NO CNG"" cause).",2022-02-04,0,open,0,green,,2022-01-14 12:34:23,2022-01-14 12:34:23
32,,20,30.0,"New addition; cause-specific response plan (cause = ""special event"").",2022-02-04,0,open,0,green,,2022-01-14 12:36:28,2022-01-14 12:36:28
