id,creator_id,change_id,description,created_at,updated_at
1,,1,bring on more people or change the priorrity of project members work,2021-11-26 12:06:02,2021-11-26 12:06:02
2,,2,develop new scope and put timing into plan,2021-11-29 06:15:11,2021-11-29 06:15:11
3,,3,"Request and verify requirement for more funds approx $27,000",2021-11-29 12:50:36,2021-11-29 12:50:36
4,,7,Add budget amount to hire specific resource just for this project,2022-01-23 04:10:42,2022-01-23 04:10:42
5,,8,require documentation to be developed,2022-01-23 04:12:12,2022-01-23 04:12:12
6,,9,Resources needed to install VDT in unscheduled country,2022-01-23 04:13:53,2022-01-23 04:13:53
7,,10,We need more efforts to make this tool intuitive,2022-02-07 02:37:59,2022-02-07 02:37:59
8,,11,Description of change required,2022-02-28 03:48:55,2022-02-28 03:48:55
9,,12,Test,2022-02-28 03:50:11,2022-02-28 03:50:11
10,,4,need to schedule meetings,2022-02-28 13:45:39,2022-02-28 13:45:39
11,,4,will need to add 2 more marketing resources to project in order to see that the scheduled work is done on time. Also will need to redo schedule to accommodate separation of work.,2022-02-28 13:47:24,2022-02-28 13:47:24
12,,7,further discussions with group to add resources. they agree and is approved,2022-03-01 12:11:54,2022-03-01 12:11:54
13,,13,uncertain,2022-03-04 12:28:25,2022-03-04 12:28:25
14,,14,new resources funding required along with a week to 10 days for added functionality,2022-03-05 09:37:29,2022-03-05 09:37:29
15,,3,will require approval from VP for this change.,2022-03-05 09:40:41,2022-03-05 09:40:41
16,,15,Additional funds required.,2022-03-06 12:01:27,2022-03-06 12:01:27
17,,15,xxxxxxxxxxxxxxxxxxxxxxx,2022-03-11 05:01:07,2022-03-11 05:01:07
18,,17,add,2022-03-14 06:33:03,2022-03-14 06:33:03
19,,18,Price increase to work the second shift to perform the GWC ECMs,2022-03-14 10:31:38,2022-03-14 10:31:38
20,,19,Need to move start date back to Spring Break week.,2022-03-14 10:47:13,2022-03-14 10:47:13
21,,20,Replace valves at Tech and Shabazz HS,2022-03-15 04:28:47,2022-03-15 04:28:47
22,,21,New development to be done,2022-03-15 12:49:54,2022-03-15 12:49:54
23,,22,new tech resources needed and beck-end developer,2022-03-21 05:35:25,2022-03-21 05:35:25
24,,23,New development to be done,2022-03-21 05:49:14,2022-03-21 05:49:14
25,,24,extend timeframe and establish new plan schedule,2022-03-21 05:50:50,2022-03-21 05:50:50
26,,15,https://meet.google.com/bib-rejy-guj?authuser=0,2022-03-23 11:51:43,2022-03-23 11:51:43
27,,25,new date,2022-03-27 11:46:31,2022-03-27 11:46:31
28,,25,new date still to be determined.,2022-03-27 11:51:11,2022-03-27 11:51:11
29,,3,dddddddddddddd,2022-03-30 04:28:23,2022-03-30 04:28:23
30,,27,look,2022-03-31 05:41:12,2022-03-31 05:41:12
31,,28,athe cedsekje tje cj ge below the chagne reqrques tfor mlf some reason,2022-04-09 11:02:44,2022-04-09 11:02:44
32,,28,there are so monay reason to skeep updating this.,2022-04-09 11:10:31,2022-04-09 11:10:31
33,,28,So here i am adding more details to see what is actually added on the form. I want to see if the last update was added or dropped off.,2022-04-09 11:13:10,2022-04-09 11:13:10
34,,28,Again trying to see what gets captured in the CR Form itself.,2022-04-09 11:13:49,2022-04-09 11:13:49
35,,30,yes,2022-04-09 12:30:12,2022-04-09 12:30:12
36,,27,need to add two more tech support people for one week/5 days. Budget estimate is $5k per week,2022-04-11 10:02:19,2022-04-11 10:02:19
37,,3,increase budget but does not involve any time more in the plan,2022-04-11 10:03:08,2022-04-11 10:03:08
38,,2,Full sorting alpha across all titles. The ability to choose a record with the mouse ad then move the entire record up or down individually in the list.,2022-04-11 14:41:30,2022-04-11 14:41:30
39,,2,Full sorting alpha across all titles. The ability to choose a record with the mouse ad then move the entire record up or down individually in the list.,2022-04-11 14:52:27,2022-04-11 14:52:27
40,,31,potential extension of schedule to accommodate the new documents and set up,2022-08-30 07:20:11,2022-08-30 07:20:11
41,,32,we need to delay the tech system install for approximately 2 weeks but could be longer. Could effect opening timing.,2022-11-02 12:02:56,2022-11-02 12:02:56
42,,33,budget change to purchase security system,2022-11-02 12:05:28,2022-11-02 12:05:28
43,,17,Arrange the schedules of the resources we need. Confirm ability to show up. Need to extend the scheduled end date by 7 days,2023-02-06 09:28:38,2023-02-06 09:28:38
44,,34,Delay construction schedule for inside the store,2023-03-21 14:03:58,2023-03-21 14:03:58
45,,35,need to have new paint,2023-05-04 10:10:11,2023-05-04 10:10:11
46,,36,redo schedule and confirm resources,2023-11-07 07:44:08,2023-11-07 07:44:08
47,,37,Final approval and install plan and execution for additional security software for POS,2024-01-17 04:11:04,2024-01-17 04:11:04
