user_id,comments,reason,created_at,updated_at
3,,admin_delete,2022-01-17 08:16:59,2022-01-17 08:16:59
4,,admin_delete,2022-01-20 07:42:51,2022-01-20 07:42:51
8,,admin_delete,2022-01-17 08:16:39,2022-01-17 08:16:39
10,sent you an email,only_did_research,2022-01-27 10:06:39,2022-01-27 10:06:39
12,,admin_delete,2022-01-17 08:15:38,2022-01-17 08:15:38
13,,admin_delete,2022-01-17 08:15:26,2022-01-17 08:15:26
14,,admin_delete,2022-01-23 03:07:04,2022-01-23 03:07:04
15,,admin_delete,2022-01-17 08:14:06,2022-01-17 08:14:06
16,,admin_delete,2022-01-19 05:25:32,2022-01-19 05:25:32
19,,admin_delete,2022-01-17 08:14:46,2022-01-17 08:14:46
20,,admin_delete,2022-02-07 07:11:57,2022-02-07 07:11:57
21,,admin_delete,2022-01-17 08:13:34,2022-01-17 08:13:34
23,,admin_delete,2022-01-31 09:09:37,2022-01-31 09:09:37
24,,admin_delete,2022-06-07 14:08:03,2022-06-07 14:08:03
26,,admin_delete,2022-01-19 05:49:44,2022-01-19 05:49:44
28,,admin_delete,2022-02-07 07:12:48,2022-02-07 07:12:48
29,,admin_delete,2022-06-07 14:08:27,2022-06-07 14:08:27
30,,admin_delete,2023-02-02 05:52:57,2023-02-02 05:52:57
31,,admin_delete,2022-01-17 08:09:24,2022-01-17 08:09:24
33,,admin_delete,2022-01-19 05:40:54,2022-01-19 05:40:54
34,,admin_delete,2022-01-19 05:41:24,2022-01-19 05:41:24
35,,only_did_research,2022-11-24 05:31:56,2022-11-24 05:31:56
37,,admin_delete,2023-02-02 05:52:30,2023-02-02 05:52:30
40,,admin_delete,2023-02-02 05:52:11,2023-02-02 05:52:11
45,,admin_delete,2022-05-30 12:42:06,2022-05-30 12:42:06
46,,admin_delete,2022-06-07 14:07:15,2022-06-07 14:07:15
49,,only_did_research,2022-03-08 16:53:43,2022-03-08 16:53:43
53,,admin_delete,2022-03-09 14:21:22,2022-03-09 14:21:22
56,,not_solving_problem,2022-06-14 08:44:12,2022-06-14 08:44:12
63,,admin_delete,2022-03-18 05:53:36,2022-03-18 05:53:36
64,,admin_delete,2022-03-18 15:00:01,2022-03-18 15:00:01
71,,only_did_research,2022-05-11 06:20:47,2022-05-11 06:20:47
86,,admin_delete,2022-12-05 07:55:33,2022-12-05 07:55:33
93,,admin_delete,2022-08-08 06:46:01,2022-08-08 06:46:01
94,,only_did_research,2022-08-10 20:43:10,2022-08-10 20:43:10
