id,date,total_billed,monthly_payments,yearly_payments,created_at,updated_at
1,2022-01-09,5.0,5.0,0.0,2022-01-09 04:45:08,2022-01-09 04:53:44
2,2022-01-10,0.0,0.0,0.0,2022-01-09 19:00:04,2022-01-09 19:00:04
3,2022-01-11,0.0,0.0,0.0,2022-01-10 19:00:02,2022-01-10 19:00:02
4,2022-01-12,0.0,0.0,0.0,2022-01-11 19:00:03,2022-01-11 19:00:03
5,2022-01-13,0.0,0.0,0.0,2022-01-12 19:00:02,2022-01-12 19:00:02
6,2022-01-14,0.0,0.0,0.0,2022-01-13 19:00:02,2022-01-13 19:00:02
7,2022-01-15,0.0,0.0,0.0,2022-01-14 19:00:02,2022-01-14 19:00:02
8,2022-01-16,0.0,0.0,0.0,2022-01-15 19:00:02,2022-01-15 19:00:02
9,2022-01-17,0.0,0.0,0.0,2022-01-16 19:00:02,2022-01-16 19:00:02
10,2022-01-18,0.0,0.0,0.0,2022-01-17 19:00:03,2022-01-17 19:00:03
11,2022-01-19,0.0,0.0,0.0,2022-01-18 19:00:03,2022-01-18 19:00:03
12,2022-01-20,0.0,0.0,0.0,2022-01-19 19:00:10,2022-01-19 19:00:10
13,2022-01-21,0.0,0.0,0.0,2022-01-20 19:00:02,2022-01-20 19:00:02
14,2022-01-22,0.0,0.0,0.0,2022-01-21 19:00:04,2022-01-21 19:00:04
15,2022-01-23,0.0,0.0,0.0,2022-01-22 19:00:04,2022-01-22 19:00:04
16,2022-01-24,0.0,0.0,0.0,2022-01-23 19:00:03,2022-01-23 19:00:03
17,2022-01-25,0.0,0.0,0.0,2022-01-24 19:00:02,2022-01-24 19:00:02
18,2022-01-26,0.0,0.0,0.0,2022-01-25 19:00:03,2022-01-25 19:00:03
19,2022-01-27,0.0,0.0,0.0,2022-01-26 19:00:10,2022-01-26 19:00:10
20,2022-01-28,0.0,0.0,0.0,2022-01-27 19:00:09,2022-01-27 19:00:09
21,2022-01-29,0.0,0.0,0.0,2022-01-28 19:00:06,2022-01-28 19:00:06
22,2022-01-30,0.0,0.0,0.0,2022-01-29 19:00:11,2022-01-29 19:00:11
23,2022-01-31,0.0,0.0,0.0,2022-01-30 19:00:04,2022-01-30 19:00:04
24,2022-02-01,0.0,0.0,0.0,2022-01-31 19:00:04,2022-01-31 19:00:04
25,2022-02-02,0.0,0.0,0.0,2022-02-01 19:00:04,2022-02-01 19:00:04
26,2022-02-03,0.0,0.0,0.0,2022-02-02 19:00:08,2022-02-02 19:00:08
