id,creator_id,project_id,description,date,created_at,updated_at
1,2,4,Plan Complete,2021-12-11,2021-11-29 06:29:13,2022-04-12 08:36:07
2,2,4,Execution Complete,2022-04-24,2021-11-29 06:30:13,2022-04-12 08:37:00
3,2,4,Accepted by Sponsor,2022-06-05,2021-11-29 06:31:25,2021-11-29 06:32:32
4,2,4,Learnings Complete,2022-06-22,2021-11-29 06:39:18,2022-03-05 09:45:10
6,2,4,Project Closed,2022-07-25,2021-11-29 06:43:51,2022-03-10 10:41:18
7,10,8,SOW Approval,2022-01-20,2022-01-12 06:39:32,2022-01-12 06:39:32
8,6,12,Great Plan is Approved,2022-01-30,2022-01-15 17:12:01,2022-01-15 17:12:01
9,2,20,done,2022-01-18,2022-01-23 13:02:31,2022-01-23 13:02:31
10,42,25,Milestone 1,2022-02-03,2022-02-07 02:39:33,2022-02-07 02:39:33
11,32,35,Initating Phase Complete,2022-02-26,2022-02-15 14:06:05,2022-02-15 14:13:36
12,32,35,Planning Phase Complete,2022-03-29,2022-02-15 14:06:20,2022-02-15 14:13:46
13,46,36,Test Milestone,2022-03-07,2022-02-28 06:16:08,2022-02-28 06:16:08
14,46,36,Test Milestone 02,2022-02-17,2022-02-28 06:16:18,2022-02-28 06:16:18
15,2,2,Plan Done,2022-05-01,2022-03-05 08:19:26,2022-06-17 12:26:40
16,2,2,Execution Complete,2022-08-15,2022-03-05 08:19:39,2022-06-17 12:26:08
17,2,2,Approval to Close Done,2022-12-03,2022-03-05 08:19:57,2022-06-17 12:24:20
18,2,2,Learning Complete,2022-11-06,2022-03-05 08:20:12,2022-06-17 12:25:59
19,52,60,certs in place,2022-08-03,2022-03-13 14:01:57,2022-03-13 14:05:39
20,52,60,install complete,2022-05-15,2022-03-13 14:02:20,2022-03-24 08:06:53
21,35,70,Sprint 1 Complete,2022-02-22,2022-03-21 06:00:45,2022-03-21 06:04:02
22,35,70,Sprint 2 - Complete,2022-03-11,2022-03-21 06:01:01,2022-03-21 06:05:05
23,35,70,Sprint 3 Complete,2022-03-27,2022-03-21 06:01:17,2022-03-21 06:05:43
24,6,92,GTM plan approval,2022-11-19,2022-04-01 13:46:24,2022-04-01 14:16:14
25,6,92,what is the point,2022-06-30,2022-04-01 13:49:52,2022-04-01 14:31:24
26,6,79,mileone,2022-04-17,2022-04-09 08:06:02,2022-04-09 08:45:14
27,6,79,miletwo,2022-04-07,2022-04-09 08:27:34,2022-04-09 08:45:11
28,56,83,"Complete 202, 204, 304 by 4/30/2022",2022-04-29,2022-04-26 04:21:15,2022-04-26 04:21:15
29,56,83,"Complete 303,408, 503, 504",2022-05-05,2022-04-26 04:22:04,2022-04-26 04:22:04
30,56,83,"Complete 201, 302, 305",2022-05-12,2022-04-26 04:22:38,2022-04-26 04:22:38
31,56,83,"Complete 405, 505, 507",2022-05-19,2022-04-26 04:23:30,2022-04-26 04:23:30
32,56,83,"Complete 308, 509",2022-05-26,2022-04-26 04:24:09,2022-04-26 04:24:09
33,56,83,"Complete 307, 506, 508",2022-06-02,2022-04-26 04:24:47,2022-04-26 04:24:47
34,6,78,milesone 1,2022-08-24,2022-04-30 07:00:13,2022-04-30 07:02:26
35,76,104,Technology Working Session Phase 1,2022-06-01,2022-05-31 14:32:31,2022-05-31 14:32:31
36,85,113,Signoff,2022-06-30,2022-06-21 05:09:48,2022-06-21 05:09:48
37,2,125,Plan Done,2022-10-24,2022-10-17 08:11:36,2022-10-17 08:13:57
38,2,125,Install Done,2022-12-28,2022-10-17 08:11:48,2022-10-17 08:16:24
39,2,125,Final Sign-Off & Approval,2023-01-27,2022-10-17 08:12:02,2022-10-17 08:16:15
40,2,125,Close,2023-02-07,2022-10-17 08:12:13,2022-10-17 08:15:17
41,2,126,Project Closed,2023-11-07,2022-11-04 11:45:11,2023-07-04 07:03:32
42,2,126,Store Site Ready,2023-04-27,2022-11-04 11:46:12,2022-11-04 11:46:12
43,2,126,Design Finalized,2022-12-21,2022-11-06 06:23:30,2023-07-04 07:03:37
45,2,126,Store Fixtures Installed,2023-03-23,2022-11-06 06:24:51,2023-03-23 06:15:35
47,2,127,BID No BID,2022-10-30,2022-11-08 13:54:28,2022-11-09 03:56:58
48,2,127,Review RFx Submission & Submit,2022-11-27,2022-11-08 13:55:10,2022-11-09 05:42:48
50,7,134,Task was completed,2023-03-15,2023-03-07 06:30:15,2023-03-07 06:30:15
51,2,127,test,2023-03-29,2023-03-21 12:29:56,2023-03-21 12:31:47
56,2,161,Planning Complete,2023-03-01,2023-04-17 08:19:48,2023-04-17 08:19:48
57,2,161,Completed Delivery,2023-07-07,2023-04-17 08:19:48,2023-04-17 08:19:48
58,2,162,Planning Complete,2023-03-01,2023-04-17 08:27:11,2023-04-17 08:27:11
59,2,162,Completed Delivery,2023-07-07,2023-04-17 08:27:11,2023-04-17 08:27:11
63,2,166,Planning Complete,2023-03-01,2023-04-17 09:14:11,2023-04-17 09:14:11
64,2,166,Completed Delivery,2023-07-07,2023-04-17 09:14:11,2023-04-17 09:14:11
65,2,167,Planning Complete,2023-07-06,2023-04-17 09:27:18,2023-04-17 09:40:07
66,2,167,Completed Delivery,2023-08-29,2023-04-17 09:27:19,2023-04-17 09:40:17
69,2,170,Planning Complete,2023-03-01,2023-04-17 09:54:15,2023-04-17 09:54:15
70,2,170,Completed Delivery,2023-07-07,2023-04-17 09:54:15,2023-04-17 09:54:15
71,2,170,completed Charter,2023-06-22,2023-04-20 11:34:55,2023-04-20 11:34:55
