id,creator_id,project_id,type,status,description,priority,priority_weight,created_at,updated_at
1,2,4,work_category,open,Planning,low,1,2021-11-26 12:09:56,2022-08-30 07:37:03
4,2,4,work_category,open,customer support input screen,high,3,2021-11-29 05:49:32,2022-08-30 07:36:04
5,2,2,work_category,closed,POS Material,high,3,2021-12-01 11:41:10,2022-10-12 06:02:48
6,10,7,work_category,open,Cliff wants this meeting to happen in 2 weeks,medium,2,2022-01-12 07:08:52,2022-01-12 07:08:52
7,18,11,work_category,closed,DMS Graphics from 3-digit roadways have a larger size than the 2-digit roadways,low,1,2022-01-13 04:35:40,2022-03-10 05:15:18
8,18,13,work_category,closed,Old vs New Milemarkers: Use QGIS to create a data set for which milemarkers need to be removed from the Old set due to the fact that they will be covered by a point from the new data set.,high,3,2022-01-13 04:47:23,2022-03-30 05:27:09
9,6,12,work_category,closed,stuff real stuff,low,1,2022-01-13 12:52:00,2022-03-27 06:54:31
10,2,2,work_category,closed,Grand Opening,medium,2,2022-01-14 07:05:46,2022-10-12 06:02:56
11,2,3,work_category,closed,new issue that is causing problems,medium,2,2022-01-14 09:03:30,2022-01-14 09:03:30
12,2,3,work_category,closed,new,high,3,2022-01-14 09:04:25,2022-01-19 04:20:37
13,2,3,work_category,open,another problem,low,1,2022-01-14 09:05:20,2022-01-14 09:05:20
14,2,3,work_category,open,Gin with the problem,escalated,4,2022-01-14 09:06:13,2022-01-14 09:06:13
15,18,14,work_category,open,Service Area Events,medium,2,2022-01-14 12:34:23,2022-07-27 11:39:45
16,18,14,work_category,open,Special Event (Planned),medium,2,2022-01-14 12:36:28,2022-07-27 11:39:35
17,18,14,work_category,closed,Road Conditions (Planned),high,3,2022-01-14 12:40:35,2022-05-18 18:50:13
18,18,14,work_category,closed,Planned Roadwork Event,low,1,2022-01-14 12:41:42,2022-02-12 10:04:22
19,18,14,work_category,closed,Tunnel Response,escalated,4,2022-01-14 12:43:24,2022-04-11 15:40:10
20,18,14,work_category,closed,General Broadcast Response Updates,low,1,2022-01-14 12:44:40,2022-04-07 06:36:14
21,18,15,work_category,closed,Follow Up Progress,high,3,2022-01-14 12:57:24,2022-01-26 07:23:16
22,6,12,work_category,open,Not enough resources,high,3,2022-01-15 10:51:36,2022-01-15 10:51:36
23,6,12,work_category,closed,small issue,medium,2,2022-01-15 11:32:44,2022-03-27 06:33:02
24,18,17,work_category,closed,Refloc Missing,low,1,2022-01-17 09:40:01,2022-01-17 09:40:26
25,18,18,work_category,closed,Test Cases - Release 6.17,medium,2,2022-01-18 06:43:20,2022-03-21 15:44:51
26,18,18,work_category,closed,UAT - Release 6.17,medium,2,2022-01-18 06:45:09,2022-03-21 15:44:41
27,18,18,work_category,closed,GO-LIVE - Release 6.17,high,3,2022-01-18 06:46:07,2022-03-21 15:45:03
28,18,18,work_category,closed,6.17 Changes Summary,medium,2,2022-01-18 10:14:50,2022-03-21 15:44:27
29,2,2,work_category,open,Training,escalated,4,2022-01-23 04:16:08,2022-08-26 08:46:12
31,18,15,work_category,closed,SAML Auth Test,high,3,2022-01-26 07:25:05,2022-03-21 15:41:20
32,18,23,work_category,closed,SR-176 Ramp Config,medium,2,2022-01-30 12:54:14,2022-02-12 09:52:39
34,18,23,work_category,closed,I-71 S Ramp Config,medium,2,2022-01-30 12:56:57,2022-02-12 09:52:29
35,18,23,work_category,closed,I-71 N Ramp Config,medium,2,2022-01-30 12:59:55,2022-02-12 09:51:51
36,42,25,work_category,open,The project setup requires more flexibility on saving information,medium,2,2022-02-07 02:31:01,2022-02-07 02:31:01
38,18,17,work_category,closed,Incorrect Milemarker,low,1,2022-02-12 09:50:32,2022-03-10 07:35:22
39,32,35,work_category,open,Training for IT Admin's not defined.,high,3,2022-02-15 13:55:19,2022-02-15 13:55:19
40,46,36,work_category,open,Issue Description,escalated,4,2022-02-28 03:59:44,2022-02-28 03:59:44
41,46,36,work_category,closed,ssrtsr,medium,2,2022-02-28 06:04:33,2022-02-28 06:04:33
43,2,2,work_category,closed,Set Up,medium,2,2022-03-04 11:49:59,2022-10-12 06:02:24
44,2,2,work_category,closed,Contractor & Building,low,1,2022-03-04 12:26:00,2022-10-12 06:02:16
45,2,4,work_category,closed,Installation,medium,2,2022-03-05 09:28:07,2022-08-30 07:41:22
46,2,4,work_category,open,Installation,escalated,4,2022-03-06 10:05:14,2022-08-30 07:39:16
47,2,4,work_category,open,Phase 1 Design,medium,2,2022-03-07 10:03:16,2022-08-30 07:41:59
48,18,17,work_category,closed,SR-501 between National Rd and Ritchie Rd in Auglaize Co for a crash - 7 MM,medium,2,2022-03-10 07:45:15,2022-05-17 13:23:03
49,2,4,work_category,closed,Security procedures need updating in tech docs,high,3,2022-03-11 05:29:49,2022-08-30 07:33:34
50,52,56,work_category,open,Fabrication,low,1,2022-03-12 13:04:27,2022-03-12 13:04:27
51,52,56,work_category,open,Arts HS,low,1,2022-03-12 13:06:37,2022-03-12 13:06:37
52,52,56,work_category,open,BarDown HS,low,1,2022-03-12 13:07:56,2022-04-25 15:53:13
53,52,56,work_category,open,Kelpac HS,low,1,2022-03-12 13:09:41,2022-04-25 15:52:54
54,52,56,work_category,open,GWC HS,low,1,2022-03-12 13:10:23,2022-03-12 13:10:23
55,52,56,work_category,open,Tech HS,low,1,2022-03-12 13:11:06,2022-03-12 13:11:06
56,52,60,work_category,open,installation of box and electrical access is damaged,high,3,2022-03-13 13:49:21,2022-03-13 13:49:21
57,52,60,work_category,open,lighting is missing in working area,medium,2,2022-03-13 13:51:13,2022-03-13 13:51:13
58,7,5,work_category,open,Test issue,medium,2,2022-03-14 05:52:50,2022-03-14 05:52:50
59,52,60,work_category,open,Supply Info,high,3,2022-03-14 06:38:14,2023-03-23 06:07:32
61,56,64,work_category,closed,Schedule ICC walkthrough of Arts HS to review chillers and discuss next steps to prep for removal,high,3,2022-03-14 10:07:33,2022-03-25 09:04:12
62,56,64,work_category,closed,Get pricing for GWC ECMs as second shift work,medium,2,2022-03-14 10:12:04,2022-04-26 04:35:06
63,56,64,work_category,closed,Get pricing from McCloskey for valve replacement at Tech and Shabazz,medium,2,2022-03-14 10:14:59,2022-05-18 07:47:06
64,56,64,work_category,closed,Get pricing from ICC for UV and AHU replacements,medium,2,2022-03-14 10:25:43,2022-04-26 04:35:11
65,57,72,work_category,open,Login Screen UX/UI,high,3,2022-03-16 00:52:21,2022-03-16 00:52:21
66,35,69,work_category,open,Epic 1 need to redo security documentation since client wanted this done,high,3,2022-03-17 10:58:22,2022-03-21 11:40:37
67,35,69,work_category,open,Epic 1 Sprint 1 there is need for clear benefits,medium,2,2022-03-17 10:59:52,2022-03-21 11:41:36
68,35,69,work_category,open,Epic 3 timeframe vacations starting in back-end developers group,escalated,4,2022-03-17 11:02:19,2022-03-21 11:40:09
69,35,69,work_category,closed,Sprint 1 Decision,low,1,2022-03-17 11:05:03,2022-03-17 11:05:15
72,65,75,work_category,open,Finalize Bylaw Amendments with Kate,high,3,2022-03-18 09:22:14,2022-03-18 09:22:14
73,65,75,work_category,closed,Add statement of expenses and submit final draft of Jan 3 meeting minutes to board for review.,high,3,2022-03-18 09:23:55,2022-03-18 09:23:55
74,65,75,work_category,closed,Create action items spreadsheet,high,3,2022-03-18 09:25:08,2022-03-18 09:25:08
77,65,75,work_category,open,Create roles & responsibilities document,high,3,2022-03-18 09:49:52,2022-03-18 09:49:52
78,65,75,work_category,closed,Add statement of expenses and submit final draft of Jan 3 meeting minutes to board for review,high,3,2022-03-18 09:51:18,2022-03-18 09:51:18
79,65,75,work_category,closed,Create action items spreadsheet,high,3,2022-03-18 09:52:36,2022-03-18 10:21:29
80,65,75,work_category,open,Adjust legal invoice,high,3,2022-03-18 09:53:37,2022-03-18 09:53:37
81,65,75,work_category,open,Finalize bylaws amendments with Kate,high,3,2022-03-18 09:54:47,2022-03-18 09:54:47
82,65,75,work_category,open,Obtain quote for Lynx sign repair,medium,2,2022-03-18 09:56:11,2022-03-18 09:56:11
83,65,75,work_category,open,Get competitive bids for lift station maintenance,high,3,2022-03-18 09:58:40,2022-03-18 09:58:40
84,65,75,work_category,closed,Meeting with Sonya Sharp,high,3,2022-03-18 09:59:26,2022-04-05 09:13:46
85,65,75,work_category,open,Bids for landscaping and snow removal,high,3,2022-03-18 10:03:15,2022-03-18 10:03:15
86,65,75,work_category,open,Obtain quote for insurance,medium,2,2022-03-18 10:04:07,2022-03-18 10:04:07
87,65,75,work_category,open,Confirm city takeover of waste collection,medium,2,2022-03-18 10:05:17,2022-03-18 10:05:17
88,65,75,work_category,open,Develop Architectural Standards amendment re: solar panels,medium,2,2022-03-18 10:10:09,2022-03-18 10:10:09
89,65,75,work_category,open,Pet clean-up,medium,2,2022-03-18 10:13:36,2022-03-18 10:13:36
90,65,75,work_category,closed,Reach out to rockyview county re: broken water line,medium,2,2022-03-18 10:15:04,2022-04-05 09:12:36
91,35,70,work_category,closed,we have not got enough time to do all use cases in sprint 1,high,3,2022-03-21 05:12:13,2022-03-31 07:05:08
92,35,70,work_category,open,looking to reduce sprint 2 use cases,medium,2,2022-03-21 05:13:19,2022-03-21 05:13:19
93,35,70,work_category,closed,ssssssssssssssssssssss,high,3,2022-03-21 12:18:57,2022-03-31 07:04:52
94,35,70,work_category,closed,ggggggggggggg,high,3,2022-03-21 12:21:15,2022-03-31 07:04:43
95,2,1,work_category,closed,Plan Development,high,3,2022-03-22 05:56:13,2022-08-30 07:53:29
96,2,1,work_category,closed,Build,high,3,2022-03-22 07:02:41,2022-08-30 07:14:43
97,2,1,work_category,open,Training Documents,high,3,2022-03-22 07:09:34,2022-08-30 07:00:51
98,2,1,work_category,closed,Design,high,3,2022-03-22 07:10:19,2022-08-30 07:13:52
101,6,12,work_category,open,ya ya ya,medium,2,2022-03-27 07:11:46,2022-03-27 07:11:46
102,6,12,work_category,open,yayaya,medium,2,2022-03-27 07:17:49,2022-03-27 07:17:49
103,6,12,work_category,open,issue,high,3,2022-03-27 07:20:40,2022-03-27 07:20:40
105,18,77,work_category,open,BUG: General Alert/MEPA Areas Missing from Event Selection,low,1,2022-03-30 16:10:25,2022-05-18 18:48:05
107,18,95,work_category,closed,Review documentation and prep meeting,medium,2,2022-04-02 14:25:50,2022-04-04 09:34:14
108,18,17,work_category,closed,US-23 South - Mile 12.5 Issue,medium,2,2022-04-02 15:28:04,2022-04-20 14:45:49
