id,project_id,creator_id,learning_identifier,impact,involved_department,impact_description,learn_description,created_at,updated_at
1,2,2,L1,negative,Licensing,this team needed mare time based on the new technology. They were not prepared to ensure that we had the right information and levels of data exchange when the testing was being done.,meet with team before plan is set for approval to ensure we have the right amount of time.,2021-12-06 10:37:27,2022-08-26 09:19:25
2,12,6,L1,negative,Marketing,Not enough time,Do a full work back plan starting from initial discussions,2022-01-15 12:00:40,2022-01-15 12:00:40
3,35,32,L1,positive,,Having a validation lead on the project team resulted in validation documents having less Quality redline comments.,Secure a validation lead during project initiation.,2022-02-15 13:49:17,2022-02-15 13:49:17
4,36,46,L1,positive,Business,Situation,Learn & Improve,2022-02-28 05:57:19,2022-02-28 05:57:19
5,36,46,L2,negative,Urdu,Description,Suggestion,2022-02-28 05:57:50,2022-02-28 05:57:50
6,4,2,L1,negative,Marketing,Did not include Marketing in the very first discussions on project plan and the team was not clear on when the training was needed in support,Review training with Marketing as early as possible and before the plan is approved,2022-02-28 12:03:59,2022-02-28 12:03:59
7,4,2,L2,positive,Executive,"sponsor was available as per communications plan, to the PM on an open-door basis to discuss anything at anytime","Develop and share communications plan with sponsor early on, ask to have open-door policy to discuss",2022-02-28 12:06:05,2022-02-28 12:06:05
8,4,2,L3,positive,Executive,The executive review with the Sr Manager and the PMO representative provided good feedback and helped with prioritizing next steps,"Ensure an exec meeting is established right from the start. Input to that meeting is GYR and status reports, before meeting with client.",2022-03-05 07:20:13,2022-03-05 07:20:13
9,4,2,L4,negative,QA Testing,Tech group did not see the project as a priority work and testing planning for resources was not done properly,Review testing plan and resource scheduling with QA Director before getting final approval of plan and starting to execute,2022-03-05 07:23:56,2022-03-05 07:23:56
10,4,2,L5,negative,Development,Tech writers were not given advanced notice of the requirements in the plan,Need to provide information and discuss with the group prior to setting plan and getting approval,2022-03-06 12:12:59,2022-03-06 12:12:59
11,1,2,L1,positive,Consulting,Having the consultants part of the initial planning meant we had a more realistic timeframe for the project,invite consultant into the planning process as early as possible,2022-03-09 10:53:28,2022-03-09 10:53:28
12,76,9,L1,negative,,Making duplicate keys,The property manger needs to authorize the duplication of keys directly to the locksmith. They will then make the keys and call owner when they are for pickup.,2022-03-18 13:47:56,2022-03-18 13:47:56
13,76,9,L2,positive,,Not sure what this is for,gmarquez_sr@yahoo.com    pw GAMNBHCpw1!     Jan 31 2022,2022-03-18 13:56:46,2022-03-18 13:56:46
14,70,35,L1,negative,,ssssssssssssssss,ssssssssssssssssss,2022-03-21 12:46:09,2022-03-21 12:46:09
16,2,2,L2,positive,Executive,exec meetings,set these up early they are valuable,2022-03-30 03:48:01,2022-03-30 03:48:01
17,2,2,L3,negative,Development,Resource scheduling is not being approved in time,ensure resources have schedules checked before plan commitment,2022-03-30 03:49:16,2022-03-30 03:49:16
18,4,2,L6,negative,Development,resource schedule and approval in dev ops,ensure resources have schedules checked before plan commitment,2022-03-30 03:50:09,2022-03-30 03:50:09
19,78,6,L1,positive,finance,plan in usd daldfk al jkjd ftjekp ar so i wonder how any notes i can cpature here before it will say i have used up all my alloted space. i can come back anytime and add more note s and details so i can refenece for he next etime i awt oa make a changes. and get more notes and more details beofre this gets cut off.,ask for more monies so is can keep adding lots aof note shere i and i will nevr forget becuase it is all here jus t for me not for you,2022-04-01 15:13:04,2022-04-01 15:15:16
20,78,6,L2,negative,Dev,delay,outsource,2022-04-01 15:20:09,2022-04-01 15:20:09
21,79,6,L1,positive,mkrt,gsre ere,yes,2022-04-09 13:27:11,2022-04-09 13:27:11
22,83,56,L1,negative,PM TEAM,The sprinkler head ruptured during installation due to high heat inside the closet. Caused major flooding of the second floor and parking garage below.,No more brazing in tight spaces. Continue with Zoom Lock fittings where needed.,2022-04-26 04:26:46,2022-04-26 04:26:46
23,2,2,L4,negative,Development,not staying in tune with the latest work and updates being done by the team,ensure attendance at the project team update meetings or at least send an alternate,2022-08-26 09:17:45,2022-08-26 09:17:45
24,126,2,L1,negative,IT Infrastructure,Missed the store security system in the final design. Caused increase in budget needed.,IT/Infrastructure group needs to play bigger part in final systems review,2022-11-02 12:15:04,2022-11-02 12:15:04
25,126,2,L2,positive,Operations,Using Traxidy AID area and facilitating team status meetings early in the project led to trust and efficiency,Add all contacts in system - before get started,2022-11-02 12:17:10,2022-11-04 11:43:38
26,126,2,L3,negative,Project Management,Started project with meetings with team every 2 weeks but got behind in status and reporting was required to be sent out weekly.,Set up Project Team Meetings weekly to align with the ask for status reports,2022-11-02 12:19:34,2022-11-02 12:19:34
