id,user_id,type,device,ip,created_at,updated_at
1,1,admin,"Fedora, Chrome 96.0.4664, Unknown",5.122.8.10,2021-11-22 12:47:11,2021-11-22 12:47:11
2,1,admin,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-23 04:59:19,2021-11-23 04:59:19
3,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-23 05:02:30,2021-11-23 05:02:30
4,1,admin,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-23 06:02:20,2021-11-23 06:02:20
5,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-23 06:03:02,2021-11-23 06:03:02
6,2,regular,"GNU/Linux, Chrome 96.0.4664, Unknown",91.193.4.132,2021-11-23 06:54:49,2021-11-23 06:54:49
7,4,regular,"Mac 10.15, Firefox 94, Apple Mac",99.225.115.218,2021-11-23 08:13:33,2021-11-23 08:13:33
8,1,regular,"Fedora, Chrome 96.0.4664, Unknown",5.200.113.223,2021-11-23 23:21:58,2021-11-23 23:21:58
9,1,admin,"Windows 10, Microsoft Edge 96.0.1054, Unknown",70.31.17.57,2021-11-24 11:55:22,2021-11-24 11:55:22
10,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-25 04:36:38,2021-11-25 04:36:38
11,4,regular,"Mac 10.15, Firefox 94, Apple Mac",162.253.71.60,2021-11-25 08:03:02,2021-11-25 08:03:02
12,1,admin,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-26 03:42:19,2021-11-26 03:42:19
13,4,regular,"Mac 10.15, Firefox 94, Apple Mac",37.19.212.155,2021-11-26 04:46:19,2021-11-26 04:46:19
14,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-26 11:39:54,2021-11-26 11:39:54
15,1,admin,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-29 03:37:58,2021-11-29 03:37:58
16,1,regular,"Fedora, Chrome 96.0.4664, Unknown",89.34.36.241,2021-11-29 04:42:27,2021-11-29 04:42:27
17,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-29 05:42:44,2021-11-29 05:42:44
18,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-29 12:01:57,2021-11-29 12:01:57
19,2,regular,"Windows 10, Microsoft Edge 96.0.1054, Unknown",72.255.42.159,2021-11-30 01:15:05,2021-11-30 01:15:05
20,2,regular,"Windows 10, Microsoft Edge 96.0.1054, Unknown",72.255.42.159,2021-11-30 01:28:56,2021-11-30 01:28:56
21,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-30 04:13:53,2021-11-30 04:13:53
22,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-11-30 16:36:58,2021-11-30 16:36:58
23,4,regular,"Mac 10.15, Firefox 94, Apple Mac",99.225.115.218,2021-12-01 09:06:02,2021-12-01 09:06:02
24,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-12-01 11:36:15,2021-12-01 11:36:15
25,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-12-02 10:03:03,2021-12-02 10:03:03
26,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-12-04 06:41:06,2021-12-04 06:41:06
27,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-12-04 07:31:35,2021-12-04 07:31:35
28,2,regular,"Windows 10, Chrome 96.0.4664, Unknown",70.31.17.57,2021-12-06 10:35:55,2021-12-06 10:35:55
29,1,regular,"Fedora, Chrome 96.0.4664, Unknown",185.213.155.162,2021-12-06 11:26:06,2021-12-06 11:26:06
30,2,regular,"Fedora, Chrome 96.0.4664, Unknown",185.213.155.162,2021-12-06 11:26:46,2021-12-06 11:26:46
