id,creator_id,meeting_id,comments,meeting_time,created_at,updated_at
1,10,11,,2022-01-12 06:00:00,2022-01-12 07:09:33,2022-01-12 07:09:33
2,18,12,DMS Graphics were discussed. Dom bought up the fact that the graphics for three digit roadways actually takes up slightly more space than the two digit. Mike mentioned that there had been a couple of cases during testing where the DMS message had defaulted to text instead of using the graphic version (the reason is currently unknown at this time). Mitchel is going to take a look at why the templates might be defaulting for certain locations/events and begin to investigate a solution to the issue of different size messages.,2022-01-11 20:30:00,2022-01-13 04:30:38,2022-01-13 04:30:38
3,18,18,Mitchel to review results of the testing (nothing was determined unusual about John's account within Azure AD; problem seems to be that John's credentials are not being registered in the AD (CMM to AD pipeline is not working).,2022-01-06 04:00:00,2022-01-14 12:54:56,2022-01-14 12:54:56
4,18,19,"Discussion for 6.17 Design Doc, Response plan updates in progress, New External links menu",2022-01-18 22:00:00,2022-01-18 10:21:32,2022-01-18 10:21:32
6,42,26,Gathering team for announcing new project,2022-02-01 03:00:00,2022-02-07 02:26:27,2022-02-07 02:26:27
7,32,32,"- Mtg min line 1
- Mtg min line2-",2022-02-15 22:00:00,2022-02-15 13:53:21,2022-02-15 13:53:21
8,46,34,Test Comments,2022-03-11 23:00:00,2022-02-28 03:55:47,2022-02-28 03:55:47
12,2,45,,2022-03-04 11:00:00,2022-03-04 11:58:39,2022-03-04 11:58:39
16,2,43,Test results were reviewed along with several outstanding Actions and Risks,2022-03-03 23:00:00,2022-03-07 08:14:45,2022-03-07 08:14:45
24,52,63,,2022-03-14 01:00:00,2022-03-14 06:56:54,2022-03-14 06:56:54
29,6,77,,2022-03-28 15:27:00,2022-03-28 15:28:06,2022-03-28 15:28:06
30,6,78,,2022-03-14 05:00:00,2022-03-28 15:31:39,2022-03-28 15:31:39
36,2,89,,2022-03-30 16:00:00,2022-03-31 13:42:19,2022-03-31 13:42:19
37,6,100,,2022-03-31 14:35:00,2022-03-31 15:08:44,2022-03-31 15:08:44
38,6,101,ssss,2022-03-31 15:00:00,2022-03-31 15:19:03,2022-03-31 15:19:03
40,18,103,Mitchel to begin refining the User Manual using Bertina's OneNote file & Anthony's email chart. Mitchel to provide update at end of week with status of User Manual.,2022-04-04 06:00:00,2022-04-04 09:37:19,2022-04-04 09:37:19
41,6,75,esssss,2022-04-27 09:00:00,2022-04-09 06:13:43,2022-04-09 06:13:43
42,6,72,testing to see if logo appears,2022-04-06 09:00:00,2022-04-09 06:15:30,2022-04-09 06:15:30
43,6,71,Testing logo placement,2022-03-30 09:00:00,2022-04-09 06:18:26,2022-04-09 06:18:26
45,2,49,Review was a success,2022-03-09 11:00:00,2022-04-11 13:24:07,2022-04-11 13:24:07
46,2,90,Need to ensure Gene sends a sub next time,2022-04-06 16:00:00,2022-04-11 13:27:55,2022-04-11 13:27:55
47,2,84,Several actions and risks were also discussed at this CAB,2022-02-17 03:00:00,2022-04-11 13:35:33,2022-04-11 13:35:33
48,2,105,,2022-04-06 02:00:00,2022-04-12 09:27:09,2022-04-12 09:27:09
49,2,106,,2022-04-15 23:00:00,2022-04-16 06:06:18,2022-04-16 06:06:18
50,30,107,list,2022-05-02 20:01:00,2022-05-03 05:03:08,2022-05-03 05:03:08
51,2,91,cccccccccccccc,2022-04-13 16:00:00,2022-05-04 07:10:11,2022-05-04 07:10:11
52,2,108,,2022-05-11 21:00:00,2022-05-12 09:41:54,2022-05-12 09:41:54
53,2,109,,2022-07-07 01:00:00,2022-07-07 05:14:41,2022-07-07 05:14:41
