id,creator_id,project_id,meeting_type_id,subject,date,start_time,end_time,repeat,repeat_frequency,repeat_group_key,attendance_confirmed,created_at,updated_at
1,2,3,1.0,Review of Testing,2021-11-25,0 days 10:00:00,0 days 12:00:00,1,weekly,mD5eIjOm1nLbyj9VpxwhrpNQkgT2Y9eAOmYB129Z,0,2021-11-23 05:17:32,2021-11-23 05:17:32
2,2,3,1.0,Review of Testing,2021-12-02,0 days 10:00:00,0 days 12:00:00,1,weekly,mD5eIjOm1nLbyj9VpxwhrpNQkgT2Y9eAOmYB129Z,0,2021-11-23 05:17:32,2021-11-23 05:17:32
3,2,3,1.0,Review of Testing,2021-12-09,0 days 10:00:00,0 days 12:00:00,1,weekly,mD5eIjOm1nLbyj9VpxwhrpNQkgT2Y9eAOmYB129Z,0,2021-11-23 05:17:32,2021-11-23 05:17:32
4,2,3,1.0,Review of Testing,2021-12-16,0 days 10:00:00,0 days 12:00:00,1,weekly,mD5eIjOm1nLbyj9VpxwhrpNQkgT2Y9eAOmYB129Z,0,2021-11-23 05:17:32,2021-11-23 05:17:32
5,2,3,1.0,Review of Testing,2021-12-23,0 days 10:00:00,0 days 12:00:00,1,weekly,mD5eIjOm1nLbyj9VpxwhrpNQkgT2Y9eAOmYB129Z,0,2021-11-23 05:17:32,2021-11-23 05:17:32
6,2,2,2.0,,2021-12-01,0 days 10:00:00,0 days 11:00:00,1,monthly,GzF0Yg2KlULENlJ4tF7J3mXfmYCt2sr250tgiZUE,0,2021-12-01 11:42:00,2021-12-01 11:42:00
7,2,2,2.0,,2022-01-01,0 days 10:00:00,0 days 11:00:00,1,monthly,GzF0Yg2KlULENlJ4tF7J3mXfmYCt2sr250tgiZUE,0,2021-12-01 11:42:00,2021-12-01 11:42:00
8,2,2,2.0,,2022-02-01,0 days 10:00:00,0 days 11:00:00,1,monthly,GzF0Yg2KlULENlJ4tF7J3mXfmYCt2sr250tgiZUE,0,2021-12-01 11:42:00,2021-12-01 11:42:00
10,2,2,2.0,,2022-04-01,0 days 10:00:00,0 days 11:00:00,1,monthly,GzF0Yg2KlULENlJ4tF7J3mXfmYCt2sr250tgiZUE,0,2021-12-01 11:42:00,2021-12-01 11:42:00
11,10,7,1.0,Cost Benefit,2022-01-12,0 days 11:00:00,0 days 12:00:00,0,,,0,2022-01-12 06:07:26,2022-01-12 06:07:26
12,18,11,4.0,ODOT Weekly Update Call,2022-01-12,0 days 01:30:00,0 days 02:00:00,1,weekly,nFu6kaSOf9tCuhZZJe1A95NFKQAytT6Nh2tv2LMU,1,2022-01-13 04:23:27,2022-01-13 04:26:02
13,18,11,4.0,ODOT Weekly Update Call,2022-01-19,0 days 01:30:00,0 days 02:00:00,1,weekly,nFu6kaSOf9tCuhZZJe1A95NFKQAytT6Nh2tv2LMU,0,2022-01-13 04:23:27,2022-01-13 04:23:27
14,18,11,4.0,ODOT Weekly Update Call,2022-01-26,0 days 01:30:00,0 days 02:00:00,1,weekly,nFu6kaSOf9tCuhZZJe1A95NFKQAytT6Nh2tv2LMU,0,2022-01-13 04:23:27,2022-01-13 04:23:27
15,18,11,4.0,ODOT Weekly Update Call,2022-02-02,0 days 01:30:00,0 days 02:00:00,1,weekly,nFu6kaSOf9tCuhZZJe1A95NFKQAytT6Nh2tv2LMU,0,2022-01-13 04:23:27,2022-01-13 04:23:27
16,18,11,4.0,ODOT Weekly Update Call,2022-02-09,0 days 01:30:00,0 days 02:00:00,1,weekly,nFu6kaSOf9tCuhZZJe1A95NFKQAytT6Nh2tv2LMU,0,2022-01-13 04:23:27,2022-01-13 04:23:27
17,6,12,1.0,sss,2022-01-20,0 days 11:00:00,0 days 22:05:00,0,,,0,2022-01-13 15:22:32,2022-01-13 15:22:32
18,18,15,4.0,CMM User Auth Meeting 2,2022-01-06,0 days 09:00:00,0 days 10:00:00,0,,,0,2022-01-14 12:52:54,2022-01-14 12:52:54
19,18,18,4.0,ATMS Check-In,2022-01-19,0 days 03:00:00,0 days 04:00:00,0,,,0,2022-01-18 10:17:39,2022-01-18 10:17:39
20,18,18,4.0,Tara QA Test Validation,2022-02-11,0 days 09:00:00,0 days 10:00:00,0,,,0,2022-01-18 10:23:38,2022-01-18 10:23:38
23,2,2,5.0,Executive Review,2022-03-17,0 days 08:00:00,0 days 09:00:00,1,monthly,pzuexDrOkrhBiJTJHXw17rwdVQq9fcgtjLpMjHAK,0,2022-01-23 04:25:23,2022-01-23 04:25:23
24,2,2,5.0,Executive Review,2022-04-17,0 days 08:00:00,0 days 09:00:00,1,monthly,pzuexDrOkrhBiJTJHXw17rwdVQq9fcgtjLpMjHAK,0,2022-01-23 04:25:23,2022-01-23 04:25:23
