model_type,model_id,risk_id
Labs\Meeting\Entities\MeetingMinutes,25,1
Labs\Meeting\Entities\MeetingMinutes,31,1
Labs\Meeting\Entities\MeetingMinutes,25,2
Labs\Meeting\Entities\MeetingMinutes,31,2
Labs\Meeting\Entities\MeetingMinutes,25,4
Labs\Meeting\Entities\MeetingMinutes,28,4
Labs\Meeting\Entities\MeetingMinutes,31,4
Labs\Meeting\Entities\MeetingMinutes,36,4
Labs\Meeting\Entities\MeetingMinutes,45,4
Labs\Meeting\Entities\MeetingMinutes,19,5
Labs\Meeting\Entities\MeetingMinutes,25,5
Labs\Meeting\Entities\MeetingMinutes,28,5
Labs\Meeting\Entities\MeetingMinutes,31,5
Labs\Meeting\Entities\MeetingMinutes,45,5
Labs\Meeting\Entities\MeetingMinutes,9,6
Labs\Meeting\Entities\MeetingMinutes,19,6
Labs\Meeting\Entities\MeetingMinutes,20,6
Labs\Meeting\Entities\MeetingMinutes,25,6
Labs\Meeting\Entities\MeetingMinutes,26,6
Labs\Meeting\Entities\MeetingMinutes,27,6
Labs\Meeting\Entities\MeetingMinutes,31,6
Labs\Meeting\Entities\MeetingMinutes,10,7
Labs\Meeting\Entities\MeetingMinutes,12,7
Labs\Meeting\Entities\MeetingMinutes,14,7
Labs\Meeting\Entities\MeetingMinutes,15,7
Labs\Meeting\Entities\MeetingMinutes,61,7
Labs\Meeting\Entities\MeetingMinutes,62,7
Labs\Meeting\Entities\MeetingMinutes,18,9
Labs\Meeting\Entities\MeetingMinutes,19,9
Labs\Meeting\Entities\MeetingMinutes,20,9
Labs\Meeting\Entities\MeetingMinutes,22,9
Labs\Meeting\Entities\MeetingMinutes,25,9
Labs\Meeting\Entities\MeetingMinutes,26,9
Labs\Meeting\Entities\MeetingMinutes,27,9
Labs\Meeting\Entities\MeetingMinutes,31,9
Labs\Meeting\Entities\MeetingMinutes,33,9
Labs\Meeting\Entities\MeetingMinutes,39,9
Labs\Meeting\Entities\MeetingMinutes,45,9
Labs\Meeting\Entities\MeetingMinutes,5,10
Labs\Meeting\Entities\MeetingMinutes,12,10
Labs\Meeting\Entities\MeetingMinutes,14,10
Labs\Meeting\Entities\MeetingMinutes,12,11
Labs\Meeting\Entities\MeetingMinutes,14,11
Labs\Meeting\Entities\MeetingMinutes,14,19
Labs\Meeting\Entities\MeetingMinutes,16,19
Labs\Meeting\Entities\MeetingMinutes,14,22
Labs\Meeting\Entities\MeetingMinutes,15,22
Labs\Meeting\Entities\MeetingMinutes,16,22
Labs\Meeting\Entities\MeetingMinutes,61,22
Labs\Meeting\Entities\MeetingMinutes,62,22
Labs\Meeting\Entities\MeetingMinutes,14,23
Labs\Meeting\Entities\MeetingMinutes,15,23
Labs\Meeting\Entities\MeetingMinutes,61,23
Labs\Meeting\Entities\MeetingMinutes,62,23
Labs\Meeting\Entities\MeetingMinutes,14,24
