user_id,tips_and_tricks,software_updates,blogs_and_news,created_at,updated_at
1,1,1,1,2021-11-22 12:27:59,2022-03-30 04:26:27
2,1,1,1,2021-11-22 12:27:59,2022-03-30 04:26:27
3,1,1,1,2021-11-22 12:27:59,2022-03-30 04:26:27
4,1,1,1,2021-11-23 08:13:33,2022-03-30 04:26:27
5,1,1,1,2022-01-03 07:11:33,2022-03-30 04:26:27
6,1,1,1,2022-01-03 10:06:35,2022-03-30 04:26:27
7,1,1,1,2022-01-06 21:26:04,2022-03-30 04:26:27
8,1,1,1,2022-01-10 16:23:41,2022-03-30 04:26:27
9,1,1,1,2022-01-10 16:39:50,2022-03-30 04:26:27
10,1,1,1,2022-01-11 10:52:14,2022-03-30 04:26:27
11,1,1,1,2022-01-11 12:12:59,2022-03-30 04:26:27
12,1,1,1,2022-01-11 12:21:23,2022-03-30 04:26:27
13,1,1,1,2022-01-11 13:02:54,2022-03-30 04:26:27
14,1,1,1,2022-01-11 13:06:53,2022-03-30 04:26:27
15,1,1,1,2022-01-11 15:01:34,2022-03-30 04:26:27
16,1,1,1,2022-01-11 15:05:34,2022-03-30 04:26:27
17,1,1,1,2022-01-11 15:13:27,2022-03-30 04:26:27
18,1,1,1,2022-01-11 15:46:30,2022-03-30 04:26:27
19,1,1,1,2022-01-11 15:54:35,2022-03-30 04:26:27
20,1,1,1,2022-01-11 22:43:43,2022-03-30 04:26:27
21,1,1,1,2022-01-11 22:48:40,2022-03-30 04:26:27
22,1,1,1,2022-01-11 23:33:50,2022-03-30 04:26:27
23,1,1,1,2022-01-12 03:31:24,2022-03-30 04:26:27
24,1,1,1,2022-01-12 03:48:16,2022-03-30 04:26:27
25,1,1,1,2022-01-12 04:17:41,2022-03-30 04:26:27
26,1,1,1,2022-01-12 05:02:02,2022-03-30 04:26:27
27,1,1,1,2022-01-12 07:44:45,2022-03-30 04:26:27
28,1,1,1,2022-01-12 07:59:20,2022-03-30 04:26:27
29,1,1,1,2022-01-12 10:34:00,2022-03-30 04:26:27
30,1,1,1,2022-01-13 07:46:02,2022-03-30 04:26:27
31,1,1,1,2022-01-13 08:55:30,2022-03-30 04:26:27
32,1,1,1,2022-01-16 07:21:24,2022-03-30 04:26:27
33,1,1,1,2022-01-19 05:28:08,2022-03-30 04:26:27
34,1,1,1,2022-01-19 05:37:29,2022-03-30 04:26:27
35,1,1,1,2022-01-19 05:46:50,2022-03-30 04:26:27
36,1,1,1,2022-01-20 07:43:23,2022-03-30 04:26:27
37,1,1,1,2022-01-22 07:00:42,2022-03-30 04:26:27
38,1,1,1,2022-01-23 12:19:50,2022-03-30 04:26:27
39,1,1,1,2022-01-31 15:16:55,2022-03-30 04:26:27
40,1,1,1,2022-02-01 16:08:53,2022-03-30 04:26:27
