id,project_id,creator_id,description,created_at,updated_at
1,4,2,Work with IT to get complete understanding of the technology and services available.,2021-12-14 14:47:27,2022-03-09 04:28:38
3,12,6,two step,2022-01-15 17:14:30,2022-01-15 17:14:30
4,12,6,three steps,2022-01-15 17:14:39,2022-01-15 17:14:39
5,25,42,Is there a way to link this as an action item?,2022-02-07 02:36:18,2022-02-07 02:36:18
6,36,46,Next Steps...........,2022-02-28 04:08:01,2022-02-28 04:08:01
8,2,2,work with tech group to obtain resources,2022-02-28 12:38:04,2022-02-28 12:38:04
9,2,2,waiting on tech resource next steps,2022-03-05 08:11:06,2022-03-05 08:11:06
10,4,2,document the requirements for the security of the data and steps to enforce,2022-03-09 04:27:47,2022-03-09 04:27:47
11,4,2,Meet with sponsor to review strategy after we have security doc update,2022-03-09 04:28:19,2022-03-09 04:28:19
12,56,52,Continue fabrication,2022-03-13 14:20:27,2022-03-13 14:20:27
13,56,52,xxxxxxxxxxxxxx,2022-03-14 06:29:24,2022-03-14 06:29:24
14,76,9,Prepare paperwork for Tuesday event to exchange keys and cheques,2022-03-18 12:51:35,2022-03-18 12:51:35
15,70,35,continue to sprint 3,2022-03-21 05:00:50,2022-03-21 05:00:50
16,12,6,four and done,2022-04-01 10:16:41,2022-04-01 10:16:41
17,1,2,Continue with new firewall information discovery,2022-08-30 08:21:09,2022-08-30 08:21:09
18,1,2,Review and add new information to manual,2022-08-30 08:21:38,2022-08-30 08:21:38
19,126,2,Continue to investigate changes for added new store security system,2022-11-02 13:05:07,2022-11-02 13:05:07
20,126,2,Meeting with vendor to ensure timing fits our schedule,2022-11-15 11:58:27,2022-11-15 11:58:27
21,132,2,Install tracks in floor 1-3,2023-10-17 12:50:57,2023-10-17 12:50:57
22,132,2,Invoice for Floor 1 track material,2023-10-17 12:51:25,2023-10-17 12:51:25
23,132,2,Start to plan for curtain install,2023-10-17 12:51:43,2023-10-17 12:51:43
