id,project_id,type,data,created_at,updated_at
1,1,project_created,,2021-11-23 05:04:23,2021-11-23 05:04:23
2,1,overall_status_updated,"{""status"":""green""}",2021-11-23 05:04:23,2021-11-23 05:04:23
3,1,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2021-11-23 05:04:23,2021-11-23 05:04:23
4,1,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2021-11-23 05:04:23,2021-11-23 05:04:23
5,1,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2021-11-23 05:04:23,2021-11-23 05:04:23
6,2,project_created,,2021-11-23 05:07:29,2021-11-23 05:07:29
7,2,overall_status_updated,"{""status"":""green""}",2021-11-23 05:07:29,2021-11-23 05:07:29
8,2,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2021-11-23 05:07:29,2021-11-23 05:07:29
9,2,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2021-11-23 05:07:29,2021-11-23 05:07:29
10,2,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2021-11-23 05:07:29,2021-11-23 05:07:29
11,3,project_created,,2021-11-23 05:11:21,2021-11-23 05:11:21
12,3,overall_status_updated,"{""status"":""green""}",2021-11-23 05:11:21,2021-11-23 05:11:21
13,3,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2021-11-23 05:11:21,2021-11-23 05:11:21
14,3,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2021-11-23 05:11:21,2021-11-23 05:11:21
15,3,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2021-11-23 05:11:21,2021-11-23 05:11:21
16,3,delivery_phase_updated,"{""phase"":""execution""}",2021-11-23 05:20:23,2021-11-23 05:20:23
17,4,project_created,,2021-11-26 12:01:30,2021-11-26 12:01:30
18,4,overall_status_updated,"{""status"":""green""}",2021-11-26 12:01:30,2021-11-26 12:01:30
19,4,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2021-11-26 12:01:30,2021-11-26 12:01:30
20,4,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2021-11-26 12:01:31,2021-11-26 12:01:31
21,4,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2021-11-26 12:01:31,2021-11-26 12:01:31
22,4,delivery_phase_updated,"{""phase"":""initiation""}",2021-11-26 12:01:40,2021-11-26 12:01:40
23,4,overall_status_updated,"{""status"":""yellow""}",2021-11-26 12:02:24,2021-11-26 12:02:24
24,4,constraint_status_updated,"{""status"":""yellow"",""constraint"":""scope""}",2021-11-26 12:03:49,2021-11-26 12:03:49
25,4,constraint_status_updated,"{""status"":""green"",""constraint"":""schedule""}",2021-11-26 12:03:57,2021-11-26 12:03:57
26,4,constraint_status_updated,"{""status"":""green"",""constraint"":""budget""}",2021-11-26 12:04:03,2021-11-26 12:04:03
27,4,escalated_issue_created,,2021-11-29 05:48:01,2021-11-29 05:48:01
28,4,overall_status_updated,"{""status"":""red""}",2021-11-29 06:13:17,2021-11-29 06:13:17
29,4,constraint_status_updated,"{""status"":""red"",""constraint"":""schedule""}",2021-11-29 06:13:31,2021-11-29 06:13:31
30,4,constraint_status_updated,"{""status"":""yellow"",""constraint"":""scope""}",2021-11-29 06:13:59,2021-11-29 06:13:59
31,4,approved_revised_end_date_updated,,2021-11-29 12:51:40,2021-11-29 12:51:40
32,4,overall_status_updated,"{""status"":""green""}",2021-11-30 04:31:55,2021-11-30 04:31:55
33,4,constraint_status_updated,"{""status"":""yellow"",""constraint"":""schedule""}",2021-11-30 04:32:06,2021-11-30 04:32:06
34,4,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2021-11-30 04:32:12,2021-11-30 04:32:12
35,1,overall_status_updated,"{""status"":""yellow""}",2021-12-06 10:38:27,2021-12-06 10:38:27
36,1,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2021-12-06 10:38:33,2021-12-06 10:38:33
37,1,constraint_status_updated,"{""status"":""red"",""constraint"":""schedule""}",2021-12-06 10:38:38,2021-12-06 10:38:38
38,1,constraint_status_updated,"{""status"":""red"",""constraint"":""budget""}",2021-12-06 10:38:42,2021-12-06 10:38:42
39,2,overall_status_updated,"{""status"":""yellow""}",2021-12-06 10:39:27,2021-12-06 10:39:27
40,2,constraint_status_updated,"{""status"":""green"",""constraint"":""scope""}",2021-12-06 10:39:32,2021-12-06 10:39:32
41,2,constraint_status_updated,"{""status"":""red"",""constraint"":""schedule""}",2021-12-06 10:39:37,2021-12-06 10:39:37
42,2,constraint_status_updated,"{""status"":""red"",""constraint"":""budget""}",2021-12-06 10:39:42,2021-12-06 10:39:42
43,3,overall_status_updated,"{""status"":""red""}",2021-12-06 12:00:00,2021-12-06 12:00:00
44,3,constraint_status_updated,"{""status"":""yellow"",""constraint"":""scope""}",2021-12-06 12:00:07,2021-12-06 12:00:07
45,3,constraint_status_updated,"{""status"":""yellow"",""constraint"":""schedule""}",2021-12-06 12:00:12,2021-12-06 12:00:12
46,3,constraint_status_updated,"{""status"":""red"",""constraint"":""budget""}",2021-12-06 12:00:17,2021-12-06 12:00:17
47,1,end_date_updated,,2021-12-06 12:04:15,2021-12-06 12:04:15
48,1,delivery_phase_updated,"{""phase"":""initiation""}",2021-12-06 12:04:43,2021-12-06 12:04:43
