project_id,timezone,currency,work_week_type,company_logo,milestones_color,high_level_plan_color,key_deliverable_color,current_date_color,alert_before_project_end_date,alert_before_project_end_date_days_count,alert_when_an_action_overdue,alert_when_multiple_actions_overdue,alert_when_multiple_actions_overdue_days_count,alert_the_day_before_meeting,alert_when_contacts_edit_actions,time_percent,scope_percent,budget_percent,risk_probability,risk_impact,risk_rank_threshold,top_ranked_risks_count,top_ranked_risks_color,delivery_phases,other_gyr_constraint_name,pm_certainty_of_success,pm_estimate_of_work_complete,overall_status_comments,actions_to_change_status,created_at,updated_at
1,UTC,usd,5_day,,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,5,1,1,20,0,1,60.0,10.0,30.0,70,3,210,4,#7C67F8,"[""Ideas Refined"",""Plan & Resource"",""Approval"",""Execute to Plan"",""Review Acceptance"",""Learn & Close""]",Benefits,85,10,We have the plan in place to get back on track and are executing,review this week's progress to ensure we can move back to Green',2021-11-23 05:04:23,2022-09-01 08:01:00
2,UTC,cad,5_day,fqz7iXDM72bqNL8UCt0PkB6zShonoiPoZ77ZKC4r.png,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,2,0,0,2,0,0,50.0,0.0,50.0,70,3,210,3,#7C67F8,"[""Initiation"",""Planning"",""Execution"",""Close""]",Another Focus Area,95,5,We need to obtain more resources from the Support team and need agreement from them to proceed.,Discuss today with VP Engineering to determine next steps and possibility of putting through a change request.,2021-11-23 05:07:29,2022-10-05 12:41:47
3,UTC,cad,7_day,3cbjGD8WOR1DCTpwb0o1i8UnszAMqLmQ2zdmZJ3z.png,#9685f9,#02b1f0,#ff9f43,#f4a1a2,1,2,1,1,2,1,1,20.0,30.0,50.0,70,3,210,3,#7C67F8,"[""Ideation"",""Concept"",""Initiation"",""Planning"",""Execution"",""Close""]",,100,75,,,2021-11-23 05:11:21,2022-03-30 04:26:27
4,UTC,usd,5_day,6X3oV4JJPHOGv3JOFCJmtYHFH6LDFKeMsFPmZfrf.png,#7edda9,#9685f9,#67d0f6,#ff9f43,1,15,1,1,10,1,0,60.0,30.0,10.0,70,3,210,3,#7C67F8,"[""Idea Review"",""Plan Develop"",""Plan Approval"",""Execute & Control"",""Closure Steps"",""Implement in Systems""]",Benefits,95,20,Having issues getting an understanding of how the latest industry security standards for data will affect the poroject,Tech group is re-evaluating the situation and will report back by end of week,2021-11-26 12:01:30,2022-09-07 05:26:13
5,UTC,usd,5_day,,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,10,1,1,2,1,1,,,,70,3,210,3,#7C67F8,"[""Initiation"",""Planning"",""Execution"",""Close""]",,0,0,,,2022-01-10 01:05:21,2022-03-30 04:26:27
6,UTC,usd,5_day,,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,10,1,1,2,1,1,,,,70,3,210,3,#7C67F8,"[""Initiation"",""Planning"",""Execution"",""Close""]",,0,0,,,2022-01-12 04:25:29,2022-03-30 04:26:27
7,UTC,cad,5_day,,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,10,1,1,2,1,1,,,,70,3,210,3,#7C67F8,"[""Initiation"",""Planning"",""Execution"",""Close""]",,0,0,,,2022-01-12 05:20:16,2022-03-30 04:26:27
8,UTC,cad,5_day,,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,10,1,1,2,1,1,30.0,40.0,30.0,70,3,210,3,#7C67F8,"[""Initiation"",""Planning"",""Execution"",""Close""]",,0,0,,,2022-01-12 06:28:03,2022-03-30 04:26:27
9,UTC,usd,5_day,,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,10,1,1,2,1,1,,,,70,3,210,3,#7C67F8,"[""Initiation"",""Planning"",""Execution"",""Close""]",,0,0,,,2022-01-12 06:58:02,2022-03-30 04:26:27
10,UTC,usd,5_day,,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,10,1,1,2,1,1,,,,70,3,210,3,#7C67F8,"[""Initiation"",""Planning"",""Execution"",""Close""]",,0,0,,,2022-01-12 10:39:05,2022-03-30 04:26:27
11,UTC,usd,5_day,,#9685f9,#02b1f0,#67d0f6,#ff9f43,1,10,1,1,2,1,1,20.0,80.0,0.0,70,3,210,3,#7C67F8,"[""Initiation"",""Planning"",""Execution"",""Close""]",,0,0,,,2022-01-13 04:09:56,2022-03-30 04:26:27
