id,project_id,revised_date,revised_work_days,created_at,updated_at
1,4,2022-06-09,156,2021-11-29 12:51:40,2021-11-29 12:51:40
2,3,2022-08-17,709,2021-12-19 06:30:04,2021-12-19 06:30:04
3,36,2022-02-16,9,2022-02-28 03:47:19,2022-02-28 03:47:19
4,2,2022-05-20,123,2022-03-05 09:08:16,2022-03-05 09:08:16
5,4,2022-06-13,158,2022-03-05 09:23:57,2022-03-05 09:23:57
6,4,2022-06-01,150,2022-03-05 09:24:05,2022-03-05 09:24:05
7,4,2022-07-14,181,2022-03-05 09:24:17,2022-03-05 09:24:17
8,4,2022-07-22,187,2022-03-05 09:38:09,2022-03-05 09:38:09
9,4,2022-08-01,193,2022-03-05 09:38:45,2022-03-05 09:38:45
10,60,2022-08-19,39,2022-03-14 06:35:41,2022-03-14 06:35:41
11,4,2022-08-24,210,2022-03-23 11:23:45,2022-03-23 11:23:45
12,4,2022-11-30,280,2022-03-28 08:00:30,2022-03-28 08:00:30
13,4,2022-07-15,182,2022-03-30 03:46:11,2022-03-30 03:46:11
14,4,2022-07-29,192,2022-03-31 05:11:56,2022-03-31 05:11:56
15,70,2022-07-11,111,2022-03-31 07:04:02,2022-03-31 07:04:02
16,4,2022-08-26,212,2022-03-31 12:46:24,2022-03-31 12:46:24
17,76,2023-03-31,267,2022-04-05 13:43:19,2022-04-05 13:43:19
18,97,2022-10-23,260,2022-04-05 13:46:42,2022-04-05 13:46:42
19,4,2022-03-30,105,2022-04-11 09:58:20,2022-04-11 09:58:20
20,4,2022-04-29,127,2022-04-11 09:59:40,2022-04-11 09:59:40
21,4,2022-07-25,188,2022-04-12 08:33:54,2022-04-12 08:33:54
22,2,2022-07-08,158,2022-05-23 05:23:41,2022-05-23 05:23:41
23,1,2022-09-30,154,2022-06-03 05:27:49,2022-06-03 05:27:49
24,2,2022-11-25,188,2022-06-17 12:22:23,2022-06-17 12:22:23
25,4,2022-08-17,205,2022-07-07 03:28:45,2022-07-07 03:28:45
26,2,2022-12-31,214,2022-07-13 04:48:12,2022-07-13 04:48:12
27,4,2022-10-14,247,2022-07-13 04:48:33,2022-07-13 04:48:33
28,58,2023-03-17,189,2022-08-17 04:59:22,2022-08-17 04:59:22
29,1,2023-07-13,358,2022-08-30 08:05:30,2022-08-30 08:05:30
30,4,2022-12-30,302,2022-08-30 08:05:59,2022-08-30 08:05:59
31,127,2023-01-31,76,2023-01-09 04:30:23,2023-01-09 04:30:23
32,127,2023-04-04,110,2023-02-09 07:23:30,2023-02-09 07:23:30
33,58,2023-06-30,288,2023-03-23 06:04:46,2023-03-23 06:04:46
34,58,2023-09-07,357,2023-03-23 06:04:53,2023-03-23 06:04:53
35,60,2023-08-17,396,2023-03-23 06:05:57,2023-03-23 06:05:57
36,127,2023-09-21,232,2023-04-20 04:41:05,2023-04-20 04:41:05
37,127,2023-09-28,237,2023-04-20 04:41:14,2023-04-20 04:41:14
38,132,2023-08-04,129,2023-06-13 12:53:14,2023-06-13 12:53:14
39,56,2024-01-26,299,2023-06-13 12:59:30,2023-06-13 12:59:30
40,132,2023-09-08,154,2023-07-04 06:57:16,2023-07-04 06:57:16
41,132,2023-11-24,209,2023-08-23 10:54:05,2023-08-23 10:54:05
42,127,2024-02-15,337,2023-08-23 11:05:52,2023-08-23 11:05:52
43,126,2024-11-06,527,2023-11-07 07:34:57,2023-11-07 07:34:57
44,201,2024-11-05,313,2023-11-07 07:35:22,2023-11-07 07:35:22
45,132,2024-11-14,463,2023-11-16 11:02:04,2023-11-16 11:02:04
46,127,2024-12-20,229,2024-01-17 04:03:09,2024-01-17 04:03:09
