id,creator_id,category_id,title,body,created_at,updated_at
1,1,1,Using the Getting Started area,"<h2>Using the Getting Started Area</h2>
<p>&nbsp;</p>
<p>The <strong>Getting Started</strong> section starts with a list of the Traxidy Areas, each one with a link to a short video which provides a guided tour of each Area.</p>
<p>Feel free to pause or rewind the video at any time to allow a thorough read of the information.</p>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/ybcNw9vN409HJ5R3Kmp9wj03J4RgL0Aamfb3l49o.jpg"" width=""898"" height=""307"" /></p>",2021-11-24 11:52:25,2022-04-18 15:57:51
2,1,2,Start Here,"<h3><a name=""_Toc63758096""></a>Start Here</h3>
<p>&nbsp;</p>
<p>Traxidy makes it easier to track, manage and report on Project Actions, Issues, Priorities, Risks and Changes and helps guide meetings and conversations. From the time you learn you have a new project to manage, until you close the project, Traxidy helps to make your role easier.</p>
<p>We purposely designed Traxidy for Project Managers to unify all your day-to-day, real project work and help you stay on track and in control for greater project success. Traxidy is your personal project workspace to complement any project management platform and methodology.</p>
<p>&nbsp;</p>
<p>Use Traxidy from the first time you learn about your new project.</p>
<ol>
<li><strong> </strong>Simply add the new project name to the new project template along with any details you have about the project in the <strong>Project Information </strong>Area<strong>.</strong> You can add more details and information or update at any time.</li>
<li><strong> </strong>Add any contacts that will be part of the project in the <strong>Contacts </strong>Area<strong>.</strong>&nbsp;Include contacts that will deliver the project as well as key stakeholders that will need to see the <strong>Project Status A</strong>rea. You can easily add contacts at any time.</li>
<li><strong> </strong>Use Traxidy <strong>Meetings </strong>Area to establish the meeting schedule that you will use to work with stakeholders to build your project plan.</li>
<li><strong> </strong>Each time you meet, use Traxidy to easily record, track and update any key <strong>Actions, Issues, Decisions (AID)</strong>, owners and timing, Risks and Changes and easily create <strong><em>Meeting Minutes</em></strong>. All updates made to Actions, Risks or Changes are available in the record details. The historical updates allow you to see how the information or progress of the work has changed over time.</li>
<li><strong> </strong>Use Traxidy to easily show, report and communicate on the real-time <strong>Project Status</strong> as you move through your project work.</li>
<li><strong> </strong>Use the Traxidy <strong>High-Level Plan</strong> (<strong>HL Plan</strong>) Area to support the real-time <strong>Project Status</strong> and show your sponsor the high-level view of the project work timeframe and milestones. It can be used as a simplified, stand-alone project plan. Traxidy complements whatever you normally use to develop a project Gantt chart.</li>
<li><strong> </strong>Once the plan is approved and set, manage any of the changes to the approved plan in <strong>Changes</strong> and use <strong>Learn &amp; Improve</strong> to record your notes and lessons learned along the way.</li>
</ol>
<h4>&nbsp;</h4>
<h4><span style=""color: #169179;""><em>Tips!</em></span></h4>
<p>Use Traxidy to better manage and control your project&mdash;in every meeting, after all conversations and during any discussion.</p>
<p>Always have Traxidy open and available to easily add project <strong>Actions, Issues and Decisions (AID)</strong> at any time. <br />As the Project Manager, you <em>know</em> these are details you don&rsquo;t want to forget or leave to chance. Keep all your project work and details consolidated in Traxidy.</p>
<p>&nbsp;</p>
<h4><span style=""color: #236fa1;""><em>Best Practice </em></span></h4>
<p>Share your Traxidy screen with all team members during your project <strong>Meetings </strong>so everyone in the meeting can see what you are recording. This will enhance the team trust in your role as a Project Manager. It will ensure that the information captured is understood and agreed-on by everyone as it is recorded.</p>
<p>&nbsp;</p>
<h3><a name=""_Toc63758102""></a>Getting Started Guided Tour</h3>
<p>Our guided tour highlights key Traxidy features and helpful tips. Click&nbsp;<a href=""https://youtu.be/22pWIym9krs""> here </a>to open this presentation.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",2021-11-26 05:28:35,2022-04-18 15:58:29
5,1,3,Navigation in the Traxidy Areas,"<h2><a name=""_Toc63758098""></a>Navigation in the Traxidy Areas</h2>
<p>&nbsp;</p>
<p>Like most systems, Traxidy has a set of terms that we use regularly, many are standard and some are unique to us. Below is a list of key terms to know when working with Traxidy.</p>
<h3>&nbsp;</h3>
<h3>Main Menu, Area Names &amp; Terminology</h3>
<ul>
<li><u>For each Project</u>, the sections in Traxidy, as listed on the left side <strong>Main Menu</strong> are called a <strong>Traxidy Area</strong>. The <strong>Traxidy Area Name</strong> will be clearly labelled near the top of each page, along with the Project Name.</li>
</ul>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/CN8DVhZXjcbfyb8k6kr9ZY9ofL0WAPIFXSnsKZTf.jpg"" width=""1057"" height=""521"" /></p>
<h3>&nbsp;</h3>
<h3><strong>Area Records - Expandable Rows per Page</strong></h3>
<ul>
<li>Traxidy shows a manageable number of records on each Area. Look to the bottom of the current list to show more or less records per page at one time.</li>
</ul>
<h3>&nbsp;</h3>
<h3>Traxidy Colors&mdash;Green Yellow Red (GYR)</h3>
<ul>
<li>Traxidy is constantly tracking dates and information and letting you know what may need your attention through data visualization. Colors and charts are used throughout Traxidy to represent the status and key dates of activities including Actions, Risks, Changes and project constraints.</li>
</ul>
<h3>&nbsp;</h3>
<h3>Overall Project Status Color &amp; Elapsed Time Bar</h3>
<ul>
<li>Each project has an <strong>Overall Project</strong> <strong>Status Color and Elapsed Timeframe </strong>bar<strong> </strong>that shows the progress through the project timeframe as a percentage of elapsed time based on the project start date, end date and today&rsquo;s date.</li>
<li>The Overall Project Status Color and Elapsed Timeframe bar is color-coded to show the current <strong>Overall Project Status</strong> with the associated color and letter, Green (G), Yellow (Y) or Red (R).</li>
</ul>
<h3>&nbsp;</h3>
<h3>Area Record Data Titles</h3>
<ul>
<li>The <strong>Area Records</strong> show the information and key details for that record. The information is shown horizontally from left to right, and organized by the Data Titles.</li>
</ul>
<h3>&nbsp;</h3>
<h3>Quick Sort on Traxidy Area Record Titles</h3>
<ul>
<li>Click on any Area <strong>Record Title</strong> as listed over the Records in any Traxidy Area and the list of records will be sorted by that Title information.</li>
</ul>
<h3>&nbsp;</h3>
<h3>Area Charts &amp; Data</h3>
<ul>
<li><strong>Area Charts</strong> provide a color-coded quick view of the Traxidy Area key stats and data.</li>
<li><strong>Click a chart </strong>and go directly to the Traxidy Area for the details.</li>
</ul>
<h3>&nbsp;</h3>
<h3>Key Action Button</h3>
<ul>
<li>Traxidy Area <strong>blue</strong> <strong><em>Key Action</em></strong> buttons provide a quick function for easy management of next steps.</li>
</ul>
<h3>&nbsp;</h3>
<h3>Collaboration Access Level &nbsp;</h3>
<p>If you provide any of your contacts with either the Access level - Contributor or Reviewer, when the contact signs in to Traxidy, they will begin on the Dashboard Area and the Access Type will appear here.</p>
<p><strong>If you are a Full Access Member and also become a Contributor or Reviewer </strong>on another Member's Traxidy Project, you can simply toggle this area to view your Access Level information. This will be <strong>a different set of information </strong>and Dashboard than your own project Dashboard.</p>
<ul>
<li><strong>Contributor:</strong> Traxidy enables <strong>you to choose to provide access</strong> to any Contact (<strong>Access Type</strong>) so they can access a limited amount of the project information in your Traxidy project allowing them to update <strong>only <em>their</em> (as Owners) Actions and Risks</strong></li>
<li><strong>Reviewer: </strong>Traxidy enables you to choose to provide access to any Contact (Access Type) so they can access only the Project Information, Project Status, Constraints GYR and the High-Level Plan. They have <strong>no ability to edit</strong> information and can only see those specific status areas.</li>
</ul>
<h3>&nbsp;</h3>
<h3><strong>Helpful Icons</strong></h3>
<p>There are a number of icons used throughout Traxidy to help you learn more, save time and get the most out of Traxidy.</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/upsh1WPIenStLWRRE6mbRjneQ7Thx9lPGMFekiVG.jpg"" width=""46"" height=""52"" /> &nbsp;<strong>Information (Help)</strong>&nbsp;Icon&nbsp; &nbsp;</p>
<p>The Information icon appears after titles and will provide useful tips and explanations.</p>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/xkjpi7oJaKdIIOQNQOetO9bCWr45EgZHyczJKJF5.jpg"" width=""40"" height=""50"" /> &nbsp;<strong>Historic Changes Made</strong>&nbsp;Icon</p>
<p>The Historic Changes Made icon provides an historic view of the changes that have been made to this information during the timeframe of the project.</p>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/m2Z2XFoa3Iv4ZFX1oUdILUspNJYcGCgLK6fsjGzW.jpg"" width=""48"" height=""44"" /> &nbsp;<strong>Open Calendar&nbsp;</strong>Icon</p>
<p>Open Calendar icon enables easy point-click for entering dates.</p>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/gNHEEXxbtPH5DPONmBhgfKbgKkfp9fQk7jFGsubz.jpg"" width=""55"" height=""50"" /> &nbsp;<strong>Open Edit&nbsp;</strong>Icon</p>
<p>Open Edit icon appears beside the Constraint Weighting information in the Project Information Area for quick and easy updates.</p>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/Na5f9vqopqUuBAUdrrZlqYbsXbbozsyQlooYH1Hl.jpg"" width=""40"" height=""65"" /> &nbsp;<strong>Save (Check Mark) &amp; Cancel (X)&nbsp;</strong>Icons</p>
<p>Save and Cancel icons appear after clicking on editable information. A surrounding box appears with both a check mark and an &lsquo;X&rsquo; located at one end of the box. Click the Check Mark to save the changes or click the &lsquo;X&rsquo; to cancel the changes and leave the information as it was.</p>",2021-11-26 09:18:38,2022-04-18 15:58:58
6,1,2,Traxidy Area Record Details,"<h2>Area Record Details</h2>
<p>Click any <strong>Area Record</strong> to open and view the expanded <strong>Record Details </strong>in an<strong> </strong>Area Record Details window<strong> </strong>on the right side of the screen.</p>
<p>Easily add information, make edits and save updates.</p>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/FxAdzs3lIpOgFLQp9KRj9x4GhHfQVgpjeAo5Xx3o.jpg"" width=""932"" height=""471"" /></p>",2021-11-26 09:22:07,2021-12-07 15:51:38
7,1,2,Main Navigation Icons,"<h2>Main Navigation Icons</h2>
<p><br />The Main Navigation icons are visible on the top Navigation bars in the <strong>Dashboard</strong>, <strong>Getting Started</strong>, <strong>Tips &amp; Help</strong>, <strong>Rewards, </strong>and <strong>Feedback </strong>Areas.</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/l04Pu8qax8Nk4OsN1GZTiZB5BcFb6osSyeTmLySL.jpg"" width=""895"" height=""56"" /></p>
<h3>&nbsp;</h3>
<h3>Upgrade Button</h3>
<ul>
<li>You can upgrade<strong> </strong>from a Free Trial to a full membership at any time. Click <strong>Upgrade</strong> and fill in your payment and billing details.</li>
</ul>
<h3>&nbsp;</h3>
<h3>Alerts &amp; Notifications (Bell)</h3>
<ul>
<li>Here you will find your Project <strong>Alerts &amp; Notifications</strong>. Hover over the Bell and open the Alerts &amp; Notifications for a quick view to items past due, priorities and next best actions.</li>
</ul>
<h3>&nbsp;</h3>
<h3>Account Avatar</h3>
<p>This is the icon of the letters of your name that will appear in the top right corner when you are logged into Traxidy.&nbsp;&nbsp;</p>",2021-11-26 09:23:49,2022-04-18 15:59:31
8,1,5,Access Your Account Settings,"<h1><a name=""_Toc63758107""></a>Access Your Account Settings</h1>
<p>&nbsp;</p>
<p>Access your <strong>Account</strong> from your initial <strong>Avatar </strong>in the top right corner of the Traxidy Areas: <strong>Dashboard</strong>, <strong>Getting Started, Tips &amp; Help, Feedback and Rewards.</strong></p>
<p>&nbsp;</p>
<p><strong><img src=""https://backend-apis.traxidy.com/storage/uploads/ENDXGAEucwJiUUJBUNIz5Ola0TTSVza1qafDFzSa.jpg"" width=""1006"" height=""365"" /></strong></p>
<p>&nbsp;</p>
<ul>
<li>From <strong>Account</strong>, click on <strong>My Settings</strong> to add your own avatar, confirm your email, company name and phone number.</li>
</ul>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/k8QXOuyk9lLziSPsj6WVc5xOFrmUoQZyA91MoItm.jpg"" width=""996"" height=""644"" /></p>
<p>&nbsp;</p>",2021-11-26 13:11:02,2022-04-18 16:00:31
9,1,4,Quick Help - Using Information Icons,"<h1><a name=""_Toc63758101""></a>3. Orientation: The Basics</h1>
<p>&nbsp;</p>
<p>Helpful tips and options to easily view, sort, and edit your project information.</p>
<p>&nbsp;</p>
<h3><a name=""_Toc63758103""></a>Quick Help with Information Icons &nbsp;<img src=""https://backend-apis.traxidy.com/storage/uploads/xFAkjJQuq6cDkvVWSnEOc9c9DeSyVB3Sa5YgcH7t.jpg"" alt="""" width=""33"" height=""36"" /></h3>
<ul>
<li>Many Traxidy titles include an <strong>Information Icon<span style=""text-decoration: line-through;"">s</span></strong> (i) for quick reference and tips.</li>
<li>Simply click the icon for more information including definitions (in case you use different terminology), best practice tips, and more.</li>
</ul>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/P7zlX2jGJTYjf5MlSocshboMaJfZr5cUo4pNHoXH.jpg"" /></p>
<p>&nbsp;</p>",2021-12-07 12:19:57,2022-04-18 16:00:53
10,1,4,View & Edit Any Record Details,"<h2><a name=""_Toc63758104""></a>View &amp; Edit Any Record Details</h2>
<h3>Edit Records by Hovering Over Data</h3>
<p>&nbsp;</p>
<ul>
<li><strong>Hover over data</strong> to see the area behind the data turn gray allowing you to make changes to that data. If the information cannot be changed, that means it is a system generated piece of information based on existing data.</li>
</ul>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/SsLa4hdzghhiydt6bC62ZxZJvLJviICVYhiIl5IK.jpg"" /></p>
<h3>Click Any Chart to See the Details</h3>
<p>&nbsp;</p>
<ul>
<li>If a Traxidy Area Chart shows items that need attention, including over-due Actions, and you want to work on that Area, simply <strong>click a chart </strong>for quick and direct access to the Traxidy Area including the <strong>AID,</strong> <strong>Risks</strong> and <strong>Changes</strong></li>
</ul>
<p>&nbsp;</p>
<h3>Drop-Down Boxes</h3>
<ul>
<li>Traxidy Area records have drop-down boxes to simplify information capture. Try the drop-down arrow to find what you are looking for, or simply start typing in the box to find the information.</li>
<li>If the information is in your database of collected information it will appear. If not, <strong>simply type it in</strong>. With Traxidy, once you have put in the information it will always be available.</li>
</ul>
<p>&nbsp;</p>
<h3>Hover Over Text for More Details</h3>
<ul>
<li>Hover over a record field of information and the text box will expand to show more details.</li>
</ul>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/TihWObcuB0bwKpdVEpjQAVoQ8PRWCUv92IbbZbLh.jpg"" width=""714"" height=""299"" /></p>",2021-12-07 12:26:57,2022-01-19 13:20:14
11,1,4,Visual Priority Tracking,"<h1><a name=""_Toc63758105""></a><strong>Visual Priority Tracking</strong></h1>
<p>&nbsp;</p>
<ul>
<li>Traxidy tracks project priorities and recommended next best actions.</li>
<li><strong>Items in RED</strong>, including the overall status of any project, should be looked at right away. Click on the RED in any chart to see the area records and take control.</li>
<li>Some Traxidy Areas like the <strong>Dashboard, Actions</strong> <strong>Issues Decisions</strong> include multiple charts that track key data including the expected timing for activities and the days remaining between start and end dates.</li>
</ul>
<p>&nbsp;</p>
<h3><span style=""color: #1319ee;""><em>Tips!</em></span></h3>
<p>Set your Alerts &amp; Notifications for each project, in <strong>Project Settings</strong>, so you can receive timely reminders of Actions that are close to their due date or past-due along with notices of upcoming meetings. Go to <strong>Project Settings (Gear Icon) / Alerts &amp; Notifications</strong>.</p>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/Gq5paezWvIJ9Bsn76qn45aHXby8IXHuHz05qtzQM.jpg"" /></p>",2021-12-07 12:28:49,2022-01-19 13:19:23
13,1,5,Change Your Password,"<h1>Change Your Password</h1>
<p>&nbsp;</p>
<ul>
<li>From Account / My Settings, click <strong>Change Password</strong> if you want to reset your password or change it for security reasons. To change your password, you need to enter your current password, then enter a new one twice.</li>
<li>Remember your password must contain at least 8 characters, upper and lower case letters with at least one number and character. Click <strong>Save Changes</strong>.</li>
<li>The next time you log in you will need to use your new password.</li>
</ul>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><img src=""https://backend-apis.traxidy.com/storage/uploads/gnjT52ztizRSju1fQQXLdQhRcKFczzAxJD5swk1C.jpg"" /></p>
<p>&nbsp;</p>",2021-12-07 12:54:06,2022-01-19 13:26:11
