id,section,key,description,value,created_at,updated_at
1,dashboard,table:mode,Table > Mode,"Mode refers to the current project condition with options including Open, On-Hold, Cancelled and Complete. If mode is 'Closed', that project will be in the Closed Projects list in the Main Menu on the left.",2021-11-04 12:23:38,2022-07-07 08:06:51
2,dashboard,table:work_days_remaining,Table > Work Days Remaining,Work Days Remaining are the number of Work Days from Today to the Project End Date. The Work Days are based on the project work week (5 days/wk or 7 days/wk) as set in Project Settings. The default is 5 days/wk.,2021-11-04 12:23:38,2021-11-23 06:09:27
3,dashboard,new_project:client_company_name,New Project > Client Company Name,"Client Company Name can be the company name of your client or the company you work for, if that is more appropriate.",2021-11-04 12:23:38,2021-11-09 14:11:47
4,dashboard,new_project:scope_statement,New Project > Scope Statement,"The Project Scope Statement is a summary of the project outcomes and benefits based on the project requirements.  It may include what will be achieved and delivered. Where possible, each objective should be Specific, Measurable, Achievable, Realistic and Time-bound (SMART). It may also include what is NOT in scope.",2021-11-04 12:23:38,2022-07-11 08:14:19
5,dashboard,new_project:key_constraint_weighting,New Project > Key Constraint Weighting,"Key Constraint Importance of the project Scope, Schedule and Budget helps to clarify the importance and criticality of each of these project aspects if changes are needed. Select the importance weighting for each constraint as a percentage, for a total of 100%. 
Best Practice: This is a great opportunity to clarify and ensure alignment on the most important constraint(s) of the project with your client or sponsor.",2021-11-04 12:23:38,2021-11-09 14:15:15
6,all_learnings,table:impact,Table > Impact,"Impact +/- refers to the lesson learned and whether the experience had a positive or negative effect on the project. Ideally, you want to repeat a positive influence and avoid repeating a negative one.",2021-11-04 12:23:38,2021-11-09 14:16:28
7,all_learnings,table:department_involved,Table > Department Involved,"Department Involved is the main business area or group that was involved in the situation and key learnings. They may be the group that you would want to take responsibility next time, to ensure that the learning is adopted.",2021-11-04 12:23:38,2021-11-09 14:17:37
8,all_learnings,table:issue_description,Table > Issue Description,"Record a summary of the situation or problem; what happened during the project and what was impacted in the project (scope schedule cost), including what went well or didn't go very well.",2021-11-04 12:23:38,2022-03-23 05:42:14
9,all_learnings,table:learn_description,Table > Learn Description,"Learn & Improve Next Time is a description of the lesson(s) learned. Include what you would want to do the next time you encounter a similar situation, so that you and your project team can continue to improve on project results.",2021-11-04 12:23:38,2021-11-09 14:27:15
10,all_learnings,side_panel:issue_description,Side Panel > Issue Description,"Record a summary of the situation or problem; what happened during the project and what was impacted in the project (scope schedule cost), including what went well or didn't go very well.",2021-11-04 12:23:38,2022-03-23 05:42:37
