user_id,user_project_is_for,usual_role,country,uses_project_management_office,average_project_team_size,working_department,working_industry,company_size,created_at,updated_at
1,work,Manager,,0.0,6_10,IT,Technology,,2021-11-22 12:27:59,2021-11-22 12:27:59
2,work,Manager,,0.0,6_10,IT,Technology,1_10,2021-11-22 12:27:59,2022-01-04 06:57:34
3,,,,,,,,,2021-11-22 12:27:59,2021-11-22 12:27:59
4,,,,,,,,,2021-11-23 08:13:33,2021-11-23 08:13:33
5,personal,Project Manager,Canada,0.0,1_5,Finance,Insurance,1_10,2022-01-03 07:11:33,2022-01-03 09:03:50
6,school,Project Coordinator,Antarctica,0.0,1_5,Finance,Construction,11_50,2022-01-03 10:06:35,2022-01-03 11:10:21
7,personal,Team Leader,United States,0.0,1_5,IT,Technology,1_10,2022-01-06 21:26:04,2022-01-10 01:04:17
8,personal,Project Manager,Canada,1.0,11_20,Consulting,Telecommunications,1001_5000,2022-01-10 16:23:41,2022-01-11 23:25:31
9,personal,Project Manager,Canada,1.0,11_20,IT,Technology,5000_plus,2022-01-10 16:39:50,2022-01-10 16:41:46
10,work,Manager,Canada,0.0,6_10,,,,2022-01-11 10:52:14,2022-01-12 04:51:58
11,work,Team Leader,Canada,0.0,1_5,Management,Technology,1_10,2022-01-11 12:12:59,2022-01-11 12:46:19
12,personal,Project Coordinator,Angola,0.0,6_10,Consulting,Education,11_50,2022-01-11 12:21:23,2022-01-11 12:45:06
13,school,Manager,Bahamas,0.0,20_plus,,,,2022-01-11 13:02:54,2022-01-11 13:03:56
14,,,,,,,,,2022-01-11 13:06:53,2022-01-11 13:06:53
15,school,Team Leader,Bahamas,1.0,20_plus,,,,2022-01-11 15:01:34,2022-01-11 15:05:31
16,,,,,,,,,2022-01-11 15:05:34,2022-01-11 15:05:34
17,work,Project Manager,Albania,0.0,1_5,Other,Energy,5000_plus,2022-01-11 15:13:27,2022-01-11 15:18:41
18,work,Project Manager,Canada,1.0,1_5,Consulting,Technology,1001_5000,2022-01-11 15:46:30,2022-01-12 10:51:25
