id,user_id,sent_at,created_at,updated_at
1,2,2022-01-07 06:52:03,2022-01-07 06:21:53,2022-01-07 06:52:03
2,7,2022-01-10 01:33:05,2022-01-10 01:03:02,2022-01-10 01:33:05
3,4,2022-01-10 07:22:04,2022-01-10 06:51:25,2022-01-10 07:22:04
4,10,2022-01-11 11:32:05,2022-01-11 11:01:27,2022-01-11 11:32:05
5,6,2022-01-11 12:50:08,2022-01-11 12:19:46,2022-01-11 12:50:08
6,11,2022-01-11 13:10:05,2022-01-11 12:39:40,2022-01-11 13:10:05
7,18,2022-01-11 16:20:02,2022-01-11 15:49:16,2022-01-11 16:20:02
8,12,2022-01-11 16:33:05,2022-01-11 16:02:06,2022-01-11 16:33:05
9,17,2022-01-11 16:44:02,2022-01-11 16:13:39,2022-01-11 16:44:02
10,20,2022-01-11 23:18:09,2022-01-11 22:47:40,2022-01-11 23:18:09
11,8,2022-01-11 23:52:08,2022-01-11 23:21:36,2022-01-11 23:52:08
12,24,2022-01-12 04:19:06,2022-01-12 03:48:17,2022-01-12 04:19:06
13,25,2022-01-12 04:48:04,2022-01-12 04:17:41,2022-01-12 04:48:04
14,27,2022-01-12 08:15:04,2022-01-12 07:44:45,2022-01-12 08:15:04
15,28,2022-01-12 08:31:05,2022-01-12 08:00:07,2022-01-12 08:31:05
16,29,2022-01-12 11:04:08,2022-01-12 10:34:01,2022-01-12 11:04:08
17,30,2022-01-13 08:18:10,2022-01-13 07:47:14,2022-01-13 08:18:10
18,22,2022-01-14 05:02:04,2022-01-14 04:31:42,2022-01-14 05:02:04
19,32,2022-01-16 07:52:06,2022-01-16 07:21:37,2022-01-16 07:52:06
20,9,2022-01-17 13:19:03,2022-01-17 12:48:34,2022-01-17 13:19:03
21,34,2022-02-07 06:46:06,2022-01-19 05:38:59,2022-02-07 06:46:06
22,35,2022-02-07 06:46:06,2022-01-19 05:47:12,2022-02-07 06:46:06
23,36,2022-02-07 06:46:06,2022-01-20 07:43:53,2022-02-07 06:46:06
24,37,2022-02-07 06:46:07,2022-01-22 07:01:44,2022-02-07 06:46:07
25,38,2022-02-07 06:46:07,2022-01-23 12:19:50,2022-02-07 06:46:07
26,39,2022-02-07 06:46:07,2022-01-31 15:17:13,2022-02-07 06:46:07
