TABLE_NAME,COLUMN_NAME,CONSTRAINT_NAME,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
change_descriptions,creator_id,change_descriptions_creator_id_foreign,users,id
action_histories,creator_id,action_histories_creator_id_foreign,users,id
meeting_minutes,creator_id,meeting_minutes_creator_id_foreign,users,id
actions,creator_id,actions_creator_id_foreign,users,id
mitigations,creator_id,mitigations_creator_id_foreign,users,id
user_infos,user_id,user_infos_user_id_foreign,users,id
billing_faqs,creator_id,billing_faqs_creator_id_foreign,users,id
project_contacts,creator_id,project_contacts_creator_id_foreign,users,id
contacts,creator_id,contacts_creator_id_foreign,users,id
change_request_forms,creator_id,change_request_forms_creator_id_foreign,users,id
welcome_emails,user_id,welcome_emails_user_id_foreign,users,id
password_resets,user_id,password_resets_user_id_foreign,users,id
changes,creator_id,changes_creator_id_foreign,users,id
next_key_steps,creator_id,next_key_steps_creator_id_foreign,users,id
companies,creator_id,companies_creator_id_foreign,users,id
milestones,creator_id,milestones_creator_id_foreign,users,id
newsletter_subscriptions,user_id,newsletter_subscriptions_user_id_foreign,users,id
contingencies,creator_id,contingencies_creator_id_foreign,users,id
issues,creator_id,issues_creator_id_foreign,users,id
contributor_project_settings,contributor_id,contributor_project_settings_contributor_id_foreign,users,id
user_helped_withs,user_id,user_helped_withs_user_id_foreign,users,id
members,user_id,members_user_id_foreign,users,id
login_histories,user_id,login_histories_user_id_foreign,users,id
delete_accounts,user_id,delete_accounts_user_id_foreign,users,id
email_verifications,user_id,email_verifications_user_id_foreign,users,id
feedbacks,creator_id,feedbacks_creator_id_foreign,users,id
gyr_constraints,creator_id,gyr_constraints_creator_id_foreign,users,id
learnings,creator_id,learnings_creator_id_foreign,users,id
high_level_key_deliverables,creator_id,high_level_key_deliverables_creator_id_foreign,users,id
key_deliverables,creator_id,key_deliverables_creator_id_foreign,users,id
high_level_milestones,creator_id,high_level_milestones_creator_id_foreign,users,id
key_accomplishments,creator_id,key_accomplishments_creator_id_foreign,users,id
meetings,creator_id,meetings_creator_id_foreign,users,id
projects,creator_id,projects_creator_id_foreign,users,id
referrals,creator_id,referrals_creator_id_foreign,users,id
risks,creator_id,risks_creator_id_foreign,users,id
statuses,creator_id,statuses_creator_id_foreign,users,id
support_categories,creator_id,support_categories_creator_id_foreign,users,id
support_topics,creator_id,support_topics_creator_id_foreign,users,id
used_project_management_apps,user_id,used_project_management_apps_user_id_foreign,users,id
support_topics,category_id,support_topics_category_id_foreign,support_categories,id
model_has_roles,role_id,model_has_roles_role_id_foreign,roles,id
role_has_permissions,role_id,role_has_permissions_role_id_foreign,roles,id
mitigations,risk_id,mitigations_risk_id_foreign,risks,id
model_risks,risk_id,model_risks_risk_id_foreign,risks,id
contingencies,risk_id,contingencies_risk_id_foreign,risks,id
changes,project_id,changes_project_id_foreign,projects,id
next_key_steps,project_id,next_key_steps_project_id_foreign,projects,id
project_contact_invitations,project_id,project_contact_invitations_project_id_foreign,projects,id
project_activities,project_id,project_activities_project_id_foreign,projects,id
change_request_forms,project_id,change_request_forms_project_id_foreign,projects,id
milestones,project_id,milestones_project_id_foreign,projects,id
meeting_types,project_id,meeting_types_project_id_foreign,projects,id
project_settings,project_id,project_settings_project_id_foreign,projects,id
key_accomplishments,project_id,key_accomplishments_project_id_foreign,projects,id
high_level_key_deliverables,project_id,high_level_key_deliverables_project_id_foreign,projects,id
revised_end_date_histories,project_id,revised_end_date_histories_project_id_foreign,projects,id
key_deliverables,project_id,key_deliverables_project_id_foreign,projects,id
risks,project_id,risks_project_id_foreign,projects,id
gyr_constraints,project_id,gyr_constraints_project_id_foreign,projects,id
project_contacts,project_id,project_contacts_project_id_foreign,projects,id
learnings,project_id,learnings_project_id_foreign,projects,id
statuses,project_id,statuses_project_id_foreign,projects,id
meetings,project_id,meetings_project_id_foreign,projects,id
issues,project_id,issues_project_id_foreign,projects,id
contributor_project_settings,project_id,contributor_project_settings_project_id_foreign,projects,id
high_level_milestones,project_id,high_level_milestones_project_id_foreign,projects,id
decisions,project_id,decisions_project_id_foreign,projects,id
snapshots,project_id,snapshots_project_id_foreign,projects,id
risks,owner_contact_id,risks_owner_contact_id_foreign,project_contacts,id
changes,approver_contact_id,changes_approver_contact_id_foreign,project_contacts,id
project_contact_invitations,project_contact_id,project_contact_invitations_project_contact_id_foreign,project_contacts,id
action_histories,owner_contact_id,action_histories_owner_contact_id_foreign,project_contacts,id
actions,owner_contact_id,actions_owner_contact_id_foreign,project_contacts,id
meeting_attendees,contact_id,meeting_attendees_contact_id_foreign,project_contacts,id
model_has_permissions,permission_id,model_has_permissions_permission_id_foreign,permissions,id
role_has_permissions,permission_id,role_has_permissions_permission_id_foreign,permissions,id
meeting_minutes,meeting_id,meeting_minutes_meeting_id_foreign,meetings,id
meeting_attendees,meeting_id,meeting_attendees_meeting_id_foreign,meetings,id
model_meeting_types,meeting_type_id,model_meeting_types_meeting_type_id_foreign,meeting_types,id
meetings,meeting_type_id,meetings_meeting_type_id_foreign,meeting_types,id
actions,issue_id,actions_issue_id_foreign,issues,id
invoice_items,invoice_id,invoice_items_invoice_id_foreign,invoices,id
project_contacts,contact_id,project_contacts_contact_id_foreign,contacts,id
contacts,company_id,contacts_company_id_foreign,companies,id
change_descriptions,change_id,change_descriptions_change_id_foreign,changes,id
model_changes,change_id,model_changes_change_id_foreign,changes,id
decisions,action_id,decisions_action_id_foreign,actions,id
model_actions,action_id,model_actions_action_id_foreign,actions,id
action_histories,action_id,action_histories_action_id_foreign,actions,id
