id,creator_id,project_id,constraint,status,comments,previous_status,created_at,updated_at
1,2,1,overall,green,,,2021-11-23 05:04:23,2021-11-23 05:04:23
2,2,1,scope,green,,,2021-11-23 05:04:23,2021-11-23 05:04:23
3,2,1,budget,green,,,2021-11-23 05:04:23,2021-11-23 05:04:23
4,2,1,schedule,green,,,2021-11-23 05:04:23,2021-11-23 05:04:23
5,2,2,overall,green,,,2021-11-23 05:07:29,2021-11-23 05:07:29
6,2,2,scope,green,,,2021-11-23 05:07:29,2021-11-23 05:07:29
7,2,2,budget,green,,,2021-11-23 05:07:29,2021-11-23 05:07:29
8,2,2,schedule,green,,,2021-11-23 05:07:29,2021-11-23 05:07:29
9,2,3,overall,green,,,2021-11-23 05:11:21,2021-11-23 05:11:21
10,2,3,scope,green,,,2021-11-23 05:11:21,2021-11-23 05:11:21
11,2,3,budget,green,,,2021-11-23 05:11:21,2021-11-23 05:11:21
12,2,3,schedule,green,,,2021-11-23 05:11:21,2021-11-23 05:11:21
13,2,4,overall,green,,,2021-11-26 12:01:30,2021-11-26 12:01:30
14,2,4,scope,green,,,2021-11-26 12:01:30,2021-11-26 12:01:30
15,2,4,budget,green,,,2021-11-26 12:01:30,2021-11-26 12:01:30
16,2,4,schedule,green,,,2021-11-26 12:01:31,2021-11-26 12:01:31
17,2,4,overall,yellow,having some issues but seem to be staying on track,green,2021-11-26 12:02:24,2021-11-26 12:02:24
18,2,4,scope,yellow,,green,2021-11-26 12:03:49,2021-11-26 12:03:49
19,2,4,schedule,green,,green,2021-11-26 12:03:57,2021-11-26 12:03:57
20,2,4,budget,green,,green,2021-11-26 12:04:03,2021-11-26 12:04:03
21,2,4,overall,red,,yellow,2021-11-29 06:13:17,2021-11-29 06:13:17
22,2,4,schedule,red,There is a risk that the information provided as to the technical spec does not conform with the safety guidelines that are coming out later this year.,green,2021-11-29 06:13:31,2021-11-29 06:13:31
23,2,4,scope,yellow,the plan but need to execute,yellow,2021-11-29 06:13:59,2021-11-29 06:13:59
24,2,4,overall,green,back on track!,red,2021-11-30 04:31:55,2021-11-30 04:31:55
25,2,4,schedule,yellow,,red,2021-11-30 04:32:06,2021-11-30 04:32:06
26,2,4,scope,green,,yellow,2021-11-30 04:32:12,2021-11-30 04:32:12
27,2,1,overall,yellow,,green,2021-12-06 10:38:27,2021-12-06 10:38:27
28,2,1,scope,green,,green,2021-12-06 10:38:33,2021-12-06 10:38:33
29,2,1,schedule,red,,green,2021-12-06 10:38:38,2021-12-06 10:38:38
30,2,1,budget,red,,green,2021-12-06 10:38:42,2021-12-06 10:38:42
31,2,2,overall,yellow,,green,2021-12-06 10:39:27,2021-12-06 10:39:27
32,2,2,scope,green,,green,2021-12-06 10:39:32,2021-12-06 10:39:32
33,2,2,schedule,red,,green,2021-12-06 10:39:37,2021-12-06 10:39:37
34,2,2,budget,red,,green,2021-12-06 10:39:42,2021-12-06 10:39:42
35,2,3,overall,red,,green,2021-12-06 12:00:00,2021-12-06 12:00:00
36,2,3,scope,yellow,,green,2021-12-06 12:00:07,2021-12-06 12:00:07
37,2,3,schedule,yellow,,green,2021-12-06 12:00:12,2021-12-06 12:00:12
38,2,3,budget,red,,green,2021-12-06 12:00:17,2021-12-06 12:00:17
39,2,4,overall,yellow,,green,2021-12-13 03:35:52,2021-12-13 03:35:52
40,2,4,risk,yellow,,,2021-12-13 04:14:29,2021-12-13 04:14:29
41,2,4,technology,red,Most of what we are doing is to receive more training and information on our current situation while trying to apply the requirements of the project to the outcome.,,2021-12-13 04:15:05,2021-12-13 04:15:05
42,2,4,other,green,,,2021-12-13 04:37:33,2021-12-13 04:37:33
43,2,2,overall,green,,yellow,2022-01-03 10:41:09,2022-01-03 10:41:09
44,2,2,schedule,yellow,,red,2022-01-03 10:41:41,2022-01-03 10:41:41
45,2,2,communication,yellow,,,2022-01-03 10:41:55,2022-01-03 10:41:55
46,2,2,procurement,yellow,Having some difficulties with the purchasing of the new box on time for the schedule,,2022-01-03 10:42:45,2022-01-03 10:42:45
47,7,5,overall,green,,,2022-01-10 01:05:21,2022-01-10 01:05:21
48,7,5,scope,green,,,2022-01-10 01:05:21,2022-01-10 01:05:21
49,7,5,budget,green,,,2022-01-10 01:05:21,2022-01-10 01:05:21
50,7,5,schedule,green,,,2022-01-10 01:05:21,2022-01-10 01:05:21
51,25,6,overall,green,,,2022-01-12 04:25:29,2022-01-12 04:25:29
52,25,6,scope,green,,,2022-01-12 04:25:29,2022-01-12 04:25:29
53,25,6,budget,green,,,2022-01-12 04:25:29,2022-01-12 04:25:29
54,25,6,schedule,green,,,2022-01-12 04:25:29,2022-01-12 04:25:29
55,10,7,overall,green,,,2022-01-12 05:20:16,2022-01-12 05:20:16
56,10,7,scope,green,,,2022-01-12 05:20:16,2022-01-12 05:20:16
57,10,7,budget,green,,,2022-01-12 05:20:16,2022-01-12 05:20:16
58,10,7,schedule,green,,,2022-01-12 05:20:16,2022-01-12 05:20:16
59,10,8,overall,green,,,2022-01-12 06:28:03,2022-01-12 06:28:03
60,10,8,scope,green,,,2022-01-12 06:28:03,2022-01-12 06:28:03
61,10,8,budget,green,,,2022-01-12 06:28:03,2022-01-12 06:28:03
62,10,8,schedule,green,,,2022-01-12 06:28:03,2022-01-12 06:28:03
63,10,9,overall,green,,,2022-01-12 06:58:02,2022-01-12 06:58:02
64,10,9,scope,green,,,2022-01-12 06:58:02,2022-01-12 06:58:02
65,10,9,budget,green,,,2022-01-12 06:58:02,2022-01-12 06:58:02
66,10,9,schedule,green,,,2022-01-12 06:58:02,2022-01-12 06:58:02
67,29,10,overall,green,,,2022-01-12 10:39:05,2022-01-12 10:39:05
68,29,10,scope,green,,,2022-01-12 10:39:05,2022-01-12 10:39:05
69,29,10,budget,green,,,2022-01-12 10:39:05,2022-01-12 10:39:05
70,29,10,schedule,green,,,2022-01-12 10:39:05,2022-01-12 10:39:05
71,18,11,overall,green,,,2022-01-13 04:09:56,2022-01-13 04:09:56
72,18,11,scope,green,,,2022-01-13 04:09:56,2022-01-13 04:09:56
73,18,11,budget,green,,,2022-01-13 04:09:56,2022-01-13 04:09:56
74,18,11,schedule,green,,,2022-01-13 04:09:56,2022-01-13 04:09:56
75,6,12,overall,green,,,2022-01-13 04:32:11,2022-01-13 04:32:11
76,6,12,scope,green,,,2022-01-13 04:32:11,2022-01-13 04:32:11
77,6,12,budget,green,,,2022-01-13 04:32:11,2022-01-13 04:32:11
78,6,12,schedule,green,,,2022-01-13 04:32:11,2022-01-13 04:32:11
79,18,13,overall,green,,,2022-01-13 04:41:19,2022-01-13 04:41:19
80,18,13,scope,green,,,2022-01-13 04:41:19,2022-01-13 04:41:19
81,18,13,budget,green,,,2022-01-13 04:41:19,2022-01-13 04:41:19
82,18,13,schedule,green,,,2022-01-13 04:41:19,2022-01-13 04:41:19
83,2,3,overall,yellow,we need to take this down a notch,red,2022-01-14 09:06:51,2022-01-14 09:06:51
84,18,14,overall,green,,,2022-01-14 12:29:44,2022-01-14 12:29:44
85,18,14,scope,green,,,2022-01-14 12:29:44,2022-01-14 12:29:44
86,18,14,budget,green,,,2022-01-14 12:29:44,2022-01-14 12:29:44
87,18,14,schedule,green,,,2022-01-14 12:29:44,2022-01-14 12:29:44
88,18,15,overall,green,,,2022-01-14 12:51:05,2022-01-14 12:51:05
89,18,15,scope,green,,,2022-01-14 12:51:05,2022-01-14 12:51:05
90,18,15,budget,green,,,2022-01-14 12:51:05,2022-01-14 12:51:05
91,18,15,schedule,green,,,2022-01-14 12:51:05,2022-01-14 12:51:05
92,2,16,overall,green,,,2022-01-17 04:05:15,2022-01-17 04:05:15
93,2,16,scope,green,,,2022-01-17 04:05:15,2022-01-17 04:05:15
94,2,16,budget,green,,,2022-01-17 04:05:15,2022-01-17 04:05:15
95,2,16,schedule,green,,,2022-01-17 04:05:15,2022-01-17 04:05:15
96,18,17,overall,green,,,2022-01-17 09:37:22,2022-01-17 09:37:22
97,18,17,scope,green,,,2022-01-17 09:37:22,2022-01-17 09:37:22
98,18,17,budget,green,,,2022-01-17 09:37:22,2022-01-17 09:37:22
99,18,17,schedule,green,,,2022-01-17 09:37:22,2022-01-17 09:37:22
