id,creator_id,risk_id,description,created_at,updated_at
1,2,6,We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.,2021-11-29 12:06:19,2021-11-29 12:06:19
2,2,2,We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.,2021-11-29 12:06:42,2021-11-29 12:06:42
4,2,5,We need to ensure that the schedule does not slip for the year end implementation and we will spend more money if required.,2021-11-29 12:06:55,2021-11-29 12:06:55
5,42,15,Ask questions during demo session,2022-02-07 02:33:06,2022-02-07 02:33:06
6,32,16,Negotiate penalty clauses in the SOW,2022-02-15 14:00:26,2022-02-15 14:00:26
7,46,17,Test Mitigation,2022-02-28 04:00:27,2022-02-28 04:00:27
8,46,18,Test Mitigation,2022-02-28 04:01:29,2022-02-28 04:01:29
9,2,11,Priorities that need to be done. The 1st priority is putting together all the data that’s required for the demo project. Then we need an overview list of the other short demos that we could use.,2022-03-04 12:09:58,2022-03-04 12:09:58
10,2,7,this is something that can be managed,2022-03-04 13:08:36,2022-03-04 13:08:36
11,2,22,There was a lot of talk between the president and the VP in regards to the best use of time for the technology support team and how they can be more productive.  The other aspects discussed included new process for other projects,2022-03-05 08:33:35,2022-03-05 08:33:35
12,2,24,The other aspects discussed included new process for other projects as it pertains to be able to monitor and show progress with the movement of the CRs through the organization.  We will need to monitor this is further CAB meetings and see,2022-03-05 08:36:47,2022-03-05 08:36:47
13,2,19,The other aspects discussed included new process for other projects as it pertains to be able to monitor and show progress with the movement of the CRs through the organization. We will need to monitor this is further CAB meetings and see,2022-03-05 08:37:02,2022-03-05 08:37:02
14,2,23,The other aspects discussed included new process for other projects as it pertains to be able to monitor and show progress with the movement of the CRs through the organization. We will need to monitor this is further CAB meetings and see,2022-03-05 08:37:09,2022-03-05 08:37:09
15,2,25,Director to meet to confirm availability,2022-03-06 10:15:52,2022-03-06 10:15:52
16,2,25,Meeting set for this week & will report back,2022-03-06 10:18:17,2022-03-06 10:18:17
17,2,26,need to review the latest information on the security that needs to be applied,2022-03-09 04:19:20,2022-03-09 04:19:20
18,52,6,xxxxxxxxxxxxxxx,2022-03-14 06:41:59,2022-03-14 06:41:59
19,35,33,no mitigation yet,2022-03-17 15:45:25,2022-03-17 15:45:25
20,35,35,see if there is another time to have the speaking engagement,2022-03-21 05:18:28,2022-03-21 05:18:28
21,35,35,two other times are possible but both have impact on the later schedule,2022-03-21 05:19:20,2022-03-21 05:19:20
22,35,34,review vacation sched with each group,2022-03-21 05:19:52,2022-03-21 05:19:52
23,2,6,we need to do something to reduce the probability of this occurring,2022-03-24 05:19:34,2022-03-24 05:19:34
24,2,9,we need to do something to reduce the probability of this occurring,2022-03-24 05:21:48,2022-03-24 05:21:48
25,2,38,we need to do something to reduce the probability of this occurring,2022-03-24 05:21:55,2022-03-24 05:21:55
26,2,4,we need to do something to reduce the probability of this occurring,2022-03-24 05:22:07,2022-03-24 05:22:07
27,2,1,we need to do something to reduce the probability of this occurring,2022-03-24 05:22:16,2022-03-24 05:22:16
28,6,39,Get more $,2022-03-27 10:04:29,2022-03-27 10:04:29
29,6,40,Borrow resources,2022-03-27 10:05:30,2022-03-27 10:05:30
30,6,41,Monitor weekly,2022-03-27 10:06:25,2022-03-27 10:06:25
31,6,40,wso to hmcahd jae before i run out of space and now i gove this checkb xox so there. ok ai getes ..,2022-03-27 10:48:04,2022-03-27 10:48:04
32,56,43,Keeping Andrew on Track,2022-03-29 10:11:46,2022-03-29 10:11:46
33,2,38,keep close eye on the progress of the construction to ensure we have a window to enter the data room,2022-03-31 12:36:13,2022-03-31 12:36:13
34,2,26,"we have the information per the current requirements, and will revisit closer to launch",2022-03-31 16:03:22,2022-03-31 16:03:22
35,55,47,Need to track closely,2022-04-25 15:32:34,2022-04-25 15:32:34
36,2,48,review to see if subs can be added into projects,2022-05-04 10:51:44,2022-05-04 10:51:44
37,2,48,I did ask that vacations be reconsidered around the project work. Hard to know if this will have any effect at this point.,2022-05-18 06:01:58,2022-05-18 06:01:58
38,2,38,"newest plan is to accept the risk, but probability went to 70% from 90%",2022-06-13 05:21:07,2022-06-13 05:21:07
39,2,55,Enter job advert in multiple employment platforms,2022-11-14 11:34:24,2022-11-14 11:34:24
