id,project_id,date,overall_gyr_status,open_issues_count,past_due_actions_count,open_risks_count,open_ranked_risks_count,active_changes_count,created_at,updated_at,num_overall_gyr_status
1,1,2021-11-23,green,0,0,0,0,0,2021-11-23 23:00:05,2021-11-23 23:00:05,1
2,2,2021-11-23,green,0,0,0,0,0,2021-11-23 23:00:05,2021-11-23 23:00:05,1
3,3,2021-11-23,green,0,0,0,0,0,2021-11-23 23:00:05,2021-11-23 23:00:05,1
4,1,2021-11-24,green,0,0,0,0,0,2021-11-24 23:00:04,2021-11-24 23:00:04,1
5,2,2021-11-24,green,0,0,0,0,0,2021-11-24 23:00:05,2021-11-24 23:00:05,1
6,3,2021-11-24,green,0,0,0,0,0,2021-11-24 23:00:05,2021-11-24 23:00:05,1
7,1,2021-11-25,green,0,0,0,0,0,2021-11-25 23:00:09,2021-11-25 23:00:09,1
8,2,2021-11-25,green,0,0,0,0,0,2021-11-25 23:00:09,2021-11-25 23:00:09,1
9,3,2021-11-25,green,0,0,0,0,0,2021-11-25 23:00:09,2021-11-25 23:00:09,1
10,1,2021-11-26,green,0,0,0,0,0,2021-11-26 23:00:02,2021-11-26 23:00:02,1
11,2,2021-11-26,green,0,0,0,0,0,2021-11-26 23:00:02,2021-11-26 23:00:02,1
12,3,2021-11-26,green,0,0,0,0,0,2021-11-26 23:00:02,2021-11-26 23:00:02,1
13,4,2021-11-26,yellow,1,1,0,0,1,2021-11-26 23:00:03,2021-11-26 23:00:03,2
14,1,2021-11-27,green,0,0,0,0,0,2021-11-27 23:00:10,2021-11-27 23:00:10,1
15,2,2021-11-27,green,0,0,0,0,0,2021-11-27 23:00:10,2021-11-27 23:00:10,1
16,3,2021-11-27,green,0,0,0,0,0,2021-11-27 23:00:11,2021-11-27 23:00:11,1
17,4,2021-11-27,yellow,1,1,0,0,1,2021-11-27 23:00:11,2021-11-27 23:00:11,2
18,1,2021-11-28,green,0,0,0,0,0,2021-11-28 23:00:06,2021-11-28 23:00:06,1
19,2,2021-11-28,green,0,0,0,0,0,2021-11-28 23:00:07,2021-11-28 23:00:07,1
20,3,2021-11-28,green,0,0,0,0,0,2021-11-28 23:00:07,2021-11-28 23:00:07,1
21,4,2021-11-28,yellow,1,1,0,0,1,2021-11-28 23:00:07,2021-11-28 23:00:07,2
22,1,2021-11-29,green,0,0,0,0,0,2021-11-29 23:00:06,2021-11-29 23:00:06,1
23,2,2021-11-29,green,0,0,0,0,0,2021-11-29 23:00:06,2021-11-29 23:00:06,1
24,3,2021-11-29,green,0,0,0,0,0,2021-11-29 23:00:06,2021-11-29 23:00:06,1
25,4,2021-11-29,red,4,3,5,3,3,2021-11-29 23:00:06,2021-11-29 23:00:06,3
26,1,2021-11-30,green,0,0,0,0,0,2021-11-30 23:00:11,2021-11-30 23:00:11,1
27,2,2021-11-30,green,0,0,0,0,0,2021-11-30 23:00:11,2021-11-30 23:00:11,1
28,4,2021-11-30,green,4,3,4,3,4,2021-11-30 23:00:12,2021-11-30 23:00:12,1
29,3,2021-11-30,green,0,0,0,0,0,2021-11-30 23:00:12,2021-11-30 23:00:12,1
30,1,2021-12-01,green,0,0,0,0,0,2021-12-01 23:00:02,2021-12-01 23:00:02,1
31,2,2021-12-01,green,1,0,1,1,0,2021-12-01 23:00:02,2021-12-01 23:00:02,1
32,3,2021-12-01,green,0,0,0,0,0,2021-12-01 23:00:03,2021-12-01 23:00:03,1
33,4,2021-12-01,green,4,4,4,3,4,2021-12-01 23:00:03,2021-12-01 23:00:03,1
34,1,2021-12-02,green,0,0,0,0,0,2021-12-02 23:00:03,2021-12-02 23:00:03,1
35,2,2021-12-02,green,1,0,1,1,0,2021-12-02 23:00:03,2021-12-02 23:00:03,1
36,3,2021-12-02,green,0,0,0,0,0,2021-12-02 23:00:03,2021-12-02 23:00:03,1
37,4,2021-12-02,green,4,4,4,3,4,2021-12-02 23:00:04,2021-12-02 23:00:04,1
38,1,2021-12-03,green,0,0,0,0,0,2021-12-03 23:00:10,2021-12-03 23:00:10,1
39,2,2021-12-03,green,1,0,1,1,0,2021-12-03 23:00:10,2021-12-03 23:00:10,1
40,3,2021-12-03,green,0,0,0,0,0,2021-12-03 23:00:10,2021-12-03 23:00:10,1
41,4,2021-12-03,green,4,4,4,3,4,2021-12-03 23:00:10,2021-12-03 23:00:10,1
42,1,2021-12-04,green,0,0,0,0,0,2021-12-04 23:00:03,2021-12-04 23:00:03,1
43,2,2021-12-04,green,1,0,1,1,0,2021-12-04 23:00:04,2021-12-04 23:00:04,1
44,3,2021-12-04,green,0,0,0,0,0,2021-12-04 23:00:04,2021-12-04 23:00:04,1
45,4,2021-12-04,green,4,3,4,3,4,2021-12-04 23:00:04,2021-12-04 23:00:04,1
46,1,2021-12-05,green,0,0,0,0,0,2021-12-05 23:00:09,2021-12-05 23:00:09,1
47,2,2021-12-05,green,1,0,1,1,0,2021-12-05 23:00:09,2021-12-05 23:00:09,1
48,3,2021-12-05,green,0,0,0,0,0,2021-12-05 23:00:09,2021-12-05 23:00:09,1
49,4,2021-12-05,green,4,3,4,3,4,2021-12-05 23:00:10,2021-12-05 23:00:10,1
50,1,2021-12-06,yellow,0,0,0,0,0,2021-12-06 23:00:06,2021-12-06 23:00:06,2
51,2,2021-12-06,yellow,1,0,1,1,0,2021-12-06 23:00:06,2021-12-06 23:00:06,2
52,3,2021-12-06,red,0,0,1,0,0,2021-12-06 23:00:07,2021-12-06 23:00:07,3
53,4,2021-12-06,green,4,4,4,3,4,2021-12-06 23:00:07,2021-12-06 23:00:07,1
54,1,2021-12-07,yellow,0,0,0,0,0,2021-12-07 23:00:07,2021-12-07 23:00:07,2
55,2,2021-12-07,yellow,1,0,1,1,0,2021-12-07 23:00:07,2021-12-07 23:00:07,2
56,3,2021-12-07,red,0,0,1,0,0,2021-12-07 23:00:08,2021-12-07 23:00:08,3
57,4,2021-12-07,green,4,4,4,3,4,2021-12-07 23:00:08,2021-12-07 23:00:08,1
58,1,2021-12-08,yellow,0,0,0,0,0,2021-12-08 23:00:04,2021-12-08 23:00:04,2
59,2,2021-12-08,yellow,1,0,1,1,0,2021-12-08 23:00:04,2021-12-08 23:00:04,2
60,3,2021-12-08,red,0,0,1,0,0,2021-12-08 23:00:05,2021-12-08 23:00:05,3
61,4,2021-12-08,green,4,4,2,1,4,2021-12-08 23:00:05,2021-12-08 23:00:05,1
62,1,2021-12-09,yellow,0,0,0,0,0,2021-12-09 23:00:04,2021-12-09 23:00:04,2
63,2,2021-12-09,yellow,1,0,1,1,0,2021-12-09 23:00:05,2021-12-09 23:00:05,2
64,3,2021-12-09,red,0,0,1,0,0,2021-12-09 23:00:05,2021-12-09 23:00:05,3
65,4,2021-12-09,green,4,4,2,1,4,2021-12-09 23:00:05,2021-12-09 23:00:05,1
66,1,2021-12-10,yellow,0,0,0,0,0,2021-12-10 23:00:09,2021-12-10 23:00:09,2
67,2,2021-12-10,yellow,1,0,1,1,0,2021-12-10 23:00:09,2021-12-10 23:00:09,2
68,3,2021-12-10,red,0,0,1,0,0,2021-12-10 23:00:09,2021-12-10 23:00:09,3
69,4,2021-12-10,green,4,6,2,1,4,2021-12-10 23:00:10,2021-12-10 23:00:10,1
70,1,2021-12-11,yellow,0,0,0,0,0,2021-12-11 23:00:02,2021-12-11 23:00:02,2
